Open,High,Low,Close,Volume
318.67,318.76,318.54,318.76,0.0
318.4,318.56,318.4,318.56,0.0
317.78,318.29,317.78,318.29,0.0
317.32,317.83,317.32,317.83,0.0
317.24,317.29,317.24,317.29,0.0
317.24,317.46,317.24,317.32,0.0
316.78,317.15,316.78,317.15,0.0
316.74,316.75,316.69,316.71,0.0
316.57,316.69,316.57,316.69,0.0
316.55,316.55,316.47,316.47,0.0
316.63,316.73,316.63,316.68,0.0
316.49,316.53,316.42,316.53,0.0
316.41,316.41,316.37,316.39,0.0
316.46,316.47,316.39,316.39,0.0
316.33,316.44,316.33,316.44,0.0
316.24,316.24,316.14,316.17,0.0
315.76,316.0,315.76,316.0,0.0
315.72,315.83,315.72,315.83,0.0
315.52,315.62,315.52,315.62,0.0
315.67,315.67,315.47,315.47,0.0
315.42,315.64,315.42,315.64,0.0
315.35,315.35,315.31,315.34,0.0
315.14,315.34,315.14,315.34,0.0
314.93,314.93,314.84,314.93,0.0
314.88,315.01,314.88,314.94,0.0
314.89,314.91,314.88,314.9,0.0
314.75,314.87,314.75,314.87,0.0
314.68,314.77,314.68,314.74,0.0
314.7,314.76,314.64,314.7,0.0
314.71,314.72,314.66,314.72,0.0
314.71,314.71,314.61,314.69,0.0
314.66,314.76,314.64,314.76,0.0
314.64,314.69,314.64,314.69,0.0
315.03,315.03,314.62,314.62,0.0
315.15,315.15,315.11,315.11,0.0
314.94,315.18,314.94,315.18,0.0
315.02,315.02,314.97,314.97,0.0
315.05,315.05,315.02,315.03,0.0
315.22,315.36,315.22,315.29,0.0
315.25,315.27,315.19,315.19,0.0
315.4,315.4,315.27,315.27,0.0
315.32,315.44,315.32,315.44,0.0
315.28,315.32,315.26,315.3,0.0
315.36,315.45,315.34,315.34,0.0
315.47,315.47,315.39,315.39,0.0
315.38,315.52,315.38,315.5,0.0
315.23,315.33,315.23,315.3,0.0
315.17,315.26,315.17,315.26,0.0
315.18,315.18,315.13,315.15,0.0
315.13,315.13,315.1,315.12,0.0
315.08,315.08,315.0,315.05,0.0
315.24,315.24,315.1,315.1,0.0
315.48,315.48,315.26,315.26,0.0
315.56,315.56,315.54,315.54,0.0
315.56,315.58,315.56,315.58,0.0
315.58,315.58,315.58,315.58,0.0
315.55,315.63,315.55,315.61,0.0
315.57,315.6,315.54,315.54,0.0
315.69,315.69,315.58,315.58,0.0
315.85,315.85,315.71,315.73,0.0
315.89,315.89,315.79,315.79,0.0
316.01,316.01,315.95,315.95,0.0
315.95,315.98,315.94,315.98,0.0
315.97,315.99,315.96,315.99,0.0
316.07,316.08,316.01,316.01,0.0
316.05,316.08,316.05,316.08,0.0
316.17,316.17,316.07,316.07,0.0
