Open,High,Low,Close,Volume
174.03,174.03,174.03,174.03,29615.0
173.905,174.29,173.63,174.04,13081.0
174.355,174.48,173.99,173.99,10495.0
174.11,174.31,174.0,174.26,11858.0
174.44,174.44,174.075,174.11,5584.0
174.25,174.44,174.0101,174.38,6213.0
174.5253,174.615,174.24,174.24,6594.0
174.23,174.55,174.11,174.55,3600.0
174.24,174.335,174.18,174.25,1854.0
174.41,174.41,174.21,174.315,700.0
174.71,174.71,174.41,174.41,2435.0
174.56,174.74,174.45,174.64,7105.0
174.74,174.74,174.441,174.441,2200.0
174.73,174.845,174.73,174.79,4841.0
174.52,174.7602,174.45,174.7602,3040.0
174.6621,174.8,174.545,174.61,4127.0
174.85,174.87,174.7,174.7,6458.0
175.1,175.1,174.86,174.89,9719.0
175.14,175.19,175.0,175.061,3538.0
175.04,175.2,175.04,175.19,3889.0
174.73,175.06,174.67,175.06,6494.0
174.7,174.86,174.698,174.698,3600.0
174.755,174.755,174.68,174.7,900.0
174.78,174.85,174.701,174.701,3828.0
174.73,174.81,174.72,174.81,700.0
174.61,174.82,174.6,174.82,1601.0
174.48,174.656,174.48,174.57,2608.0
174.58,174.58,174.49,174.49,739.0
174.2,174.65,174.2,174.63,7789.0
174.36,174.4,174.36,174.36,950.0
174.7,174.7,174.45,174.47,1796.0
174.72,174.72,174.615,174.645,500.0
174.655,174.71,174.655,174.71,700.0
174.4,174.61,174.36,174.61,5329.0
174.46,174.48,174.35,174.465,3300.0
174.31,174.48,174.31,174.48,1300.0
174.1,174.45,174.1,174.39,3601.0
174.02,174.21,174.02,174.08,3221.0
174.04,174.15,174.02,174.02,3135.0
173.9532,174.08,173.91,174.0,5253.0
174.08,174.08,173.965,173.965,3267.0
174.1347,174.1347,174.13,174.13,848.0
174.05,174.145,174.0,174.145,1956.0
174.105,174.13,173.94,173.99,6000.0
174.01,174.18,174.01,174.1,2050.0
173.99,174.045,173.99,174.045,2061.0
174.35,174.35,174.05,174.05,3701.0
174.37,174.37,174.29,174.3,1200.0
174.285,174.37,174.21,174.37,1600.0
174.02,174.1656,174.02,174.16,855.0
174.11,174.11,174.02,174.02,410.0
174.05,174.055,174.0,174.055,2354.0
173.9202,174.065,173.9202,174.04,1652.0
173.82,173.91,173.79,173.89,3702.0
173.77,173.8143,173.64,173.8143,3850.0
173.83,173.83,173.72,173.73,2000.0
173.75,173.93,173.75,173.83,5895.0
173.9,173.9,173.8,173.81,2002.0
173.77,173.881,173.74,173.82,5106.0
173.85,173.97,173.6899,173.73,3302.0
173.95,174.03,173.7,173.91,11267.0
173.75,173.865,173.75,173.85,500.0
173.76,173.8108,173.73,173.73,338.0
173.73,173.73,173.71,173.71,592.0
173.65,173.85,173.556,173.76,4470.0
173.6,173.64,173.6,173.64,767.0
173.66,173.71,173.65,173.65,2492.0
173.73,173.73,173.73,173.73,100.0
173.68,173.68,173.62,173.64,1200.0
173.565,173.68,173.5,173.68,4090.0
173.55,173.56,173.5,173.56,1700.0
173.68,173.68,173.57,173.59,2252.0
173.72,173.76,173.63,173.63,5901.0
173.66,173.73,173.66,173.73,300.0
173.63,173.63,173.54,173.54,1200.0
173.51,173.57,173.5,173.57,1505.0
173.5172,173.53,173.41,173.5,1367.0
173.4,173.53,173.4,173.43,950.0
173.486,173.49,173.24,173.43,9677.0
173.48,173.48,173.48,173.48,250.0
173.59,173.59,173.47,173.47,2470.0
173.58,173.585,173.58,173.585,200.0
173.49,173.58,173.49,173.57,2300.0
173.52,173.52,173.4,173.47,600.0
173.49,173.52,173.45,173.45,1958.0
173.5,173.51,173.47,173.485,6000.0
173.65,173.65,173.52,173.53,9941.0
173.66,173.66,173.61,173.61,200.0
173.5,173.67,173.485,173.67,4840.0
173.54,173.6,173.4998,173.4998,5400.0
173.56,173.57,173.56,173.57,399.0
173.56,173.6214,173.56,173.6214,200.0
173.445,173.54,173.41,173.54,1800.0
