Open,High,Low,Close,Volume
90.56,90.56,90.56,90.56,14445.0
91.14,91.6934,90.335,90.53,5506.0
91.21,91.42,90.89,91.13,2200.0
91.57,91.57,91.26,91.43,1523.0
91.47,91.47,91.45,91.45,700.0
91.3794,91.405,91.3,91.4,3914.0
91.0,91.48,90.58,91.44,4800.0
91.095,91.27,90.84,91.24,5910.0
90.9184,91.3,90.9184,91.02,3935.0
90.9609,91.08,90.86,90.97,1600.0
90.92,91.07,90.82,91.04,3000.0
90.95,91.04,90.834,90.94,6860.0
91.2,91.2,90.91,90.96,51500.0
91.2077,91.36,91.125,91.125,2525.0
91.09,91.36,91.03,91.33,2000.0
91.27,91.27,91.05,91.08,1200.0
91.2,91.2,91.07,91.1,2135.0
91.32,91.36,91.285,91.285,790.0
91.35,91.41,91.22,91.24,5519.0
91.25,91.3901,91.25,91.3901,4421.0
91.16,91.27,91.16,91.24,1400.0
91.17,91.2,91.05,91.14,2660.0
91.25,91.41,91.21,91.22,4000.0
91.37,91.37,91.22,91.22,700.0
91.41,91.43,91.41,91.41,500.0
91.17,91.34,91.04,91.34,1500.0
91.03,91.143,91.03,91.143,700.0
91.14,91.18,90.93,90.93,1600.0
91.08,91.13,90.926,91.13,900.0
91.09,91.09,91.06,91.06,300.0
91.08,91.11,91.08,91.08,300.0
91.23,91.23,91.14,91.14,1000.0
91.16,91.16,91.16,91.16,500.0
91.13,91.13,91.13,91.13,300.0
91.11,91.16,91.11,91.1496,730.0
91.21,91.21,91.08,91.17,700.0
91.15,91.3,91.13,91.2,3400.0
91.05,91.19,91.05,91.19,700.0
91.06,91.06,91.04,91.04,500.0
90.98,91.09,90.98,91.09,1200.0
91.02,91.04,90.95,90.95,3200.0
90.9,91.03,90.83,90.94,2307.0
90.83,90.92,90.83,90.91,3110.0
91.06,91.13,90.83,90.83,2600.0
91.0,91.0,90.91,90.91,200.0
90.78,90.87,90.78,90.87,761.0
90.73,90.74,90.53,90.64,3000.0
90.83,90.83,90.76,90.76,1200.0
90.9221,90.9221,90.85,90.85,3026.0
90.78,90.85,90.73,90.85,1200.0
90.83,90.83,90.76,90.76,1000.0
90.89,90.89,90.79,90.79,2500.0
90.8333,90.9,90.83,90.88,1846.0
90.8875,90.8875,90.8875,90.8875,100.0
90.825,90.84,90.8,90.84,4722.0
90.86,90.89,90.76,90.86,6695.0
90.88,90.91,90.85,90.85,1200.0
90.89,90.89,90.89,90.89,200.0
90.88,90.93,90.86,90.92,2600.0
90.96,90.99,90.84,90.94,4878.0
90.95,90.95,90.94,90.94,200.0
91.0,91.0,90.99,90.99,600.0
90.91,91.06,90.9,91.05,2100.0
90.95,90.95,90.91,90.94,1600.0
91.0,91.0,90.97,90.98,900.0
91.06,91.06,91.06,91.06,100.0
91.2,91.21,91.09,91.09,2000.0
91.07,91.14,91.07,91.14,600.0
91.11,91.11,90.99,91.0,1100.0
91.15,91.19,91.15,91.19,200.0
91.035,91.09,91.035,91.09,600.0
91.03,91.1,90.99,91.08,1000.0
91.05,91.08,91.03,91.07,1802.0
91.14,91.15,91.04,91.06,6867.0
91.2,91.2,91.15,91.15,600.0
91.23,91.23,91.2,91.21,675.0
91.14,91.19,91.12,91.19,900.0
91.1,91.12,91.07,91.1,1100.0
91.01,91.07,91.01,91.07,800.0
91.12,91.12,91.09,91.09,900.0
91.18,91.18,91.17,91.17,200.0
91.17,91.17,91.17,91.17,553.0
91.18,91.19,91.18,91.18,1500.0
91.21,91.23,91.21,91.23,200.0
91.07,91.22,91.07,91.22,1800.0
91.11,91.11,91.1,91.1,400.0
91.09,91.11,91.09,91.11,601.0
90.9,91.08,90.9,91.06,6016.0
90.7,90.89,90.7,90.89,12066.0
90.62,90.7,90.62,90.7,1500.0
90.5315,90.68,90.5,90.56,7207.0
90.46,90.57,90.45,90.53,2906.0
90.43,90.46,90.43,90.46,900.0
90.45,90.46,90.45,90.45,1000.0
