Open,High,Low,Close,Volume
47.8,47.8,47.8,47.8,82927.0
47.8,47.82,47.63,47.81,1485.0
47.84,47.84,47.8,47.8,2561.0
47.86,47.86,47.75,47.815,19964.0
47.82,47.85,47.77,47.8,6564.0
47.9,47.9,47.806,47.82,12095.0
47.83,47.91,47.81,47.8938,10081.0
47.92,47.94,47.79,47.83,16235.0
47.83,47.94,47.83,47.94,8998.0
47.8346,47.86,47.8,47.85,9751.0
47.86,47.98,47.8072,47.83,32027.0
47.84,47.84,47.8,47.82,6256.0
47.82,47.87,47.79,47.87,15486.0
47.84,47.85,47.75,47.795,22436.0
47.84,47.88,47.8,47.85,35348.0
47.81,47.87,47.81,47.83,3241.0
47.88,47.89,47.8253,47.8253,3748.0
47.8,47.85,47.8,47.84,4100.0
47.81,47.83,47.79,47.8,5400.0
47.77,47.82,47.75,47.81,8718.0
47.66,47.76,47.64,47.76,9195.0
47.72,47.72,47.68,47.6826,2450.0
47.65,47.69,47.62,47.69,5210.0
47.64,47.65,47.6,47.62,9500.0
47.64,47.65,47.61,47.63,5050.0
47.68,47.68,47.66,47.67,3600.0
47.66,47.68,47.65,47.66,6000.0
47.7031,47.72,47.65,47.65,3762.0
47.69,47.7,47.67,47.7,5028.0
47.6416,47.68,47.64,47.68,2588.0
47.62,47.65,47.6,47.65,6569.0
47.63,47.66,47.63,47.64,7425.0
47.64,47.65,47.61,47.64,8950.0
47.65,47.65,47.58,47.61,10500.0
47.64,47.65,47.62,47.64,5393.0
47.62,47.66,47.62,47.64,7700.0
47.6,47.62,47.52,47.62,18607.0
47.6,47.62,47.57,47.6,6100.0
47.53,47.61,47.52,47.6,5600.0
47.51,47.54,47.47,47.53,14200.0
47.5,47.54,47.5,47.52,6700.0
47.53,47.55,47.5,47.5,17529.0
47.5114,47.55,47.51,47.52,10143.0
47.505,47.53,47.5,47.53,6904.0
47.46,47.51,47.45,47.51,24213.0
47.46,47.47,47.45,47.45,7660.0
47.43,47.48,47.41,47.46,25779.0
47.38,47.434,47.37,47.43,8518.0
47.365,47.38,47.32,47.3784,11600.0
47.3825,47.42,47.365,47.37,21972.0
47.33,47.39,47.33,47.39,8173.0
47.365,47.38,47.34,47.34,7672.0
47.38,47.38,47.36,47.3653,12549.0
47.37,47.39,47.36,47.38,23513.0
47.37,47.37,47.33,47.36,7300.0
47.34,47.38,47.33,47.375,3200.0
47.42,47.42,47.35,47.35,21839.0
47.4,47.44,47.4,47.41,8833.0
47.37,47.41,47.37,47.4001,18487.0
47.41,47.41,47.37,47.37,9473.0
47.42,47.43,47.39,47.402,5539.0
47.42,47.44,47.415,47.44,600.0
47.41,47.42,47.4,47.42,5529.0
47.41,47.41,47.39,47.41,14426.0
47.4,47.42,47.39,47.42,15413.0
47.44,47.44,47.385,47.395,7598.0
47.44,47.44,47.435,47.44,1000.0
47.45,47.47,47.435,47.44,31352.0
47.44,47.465,47.42,47.45,8600.0
47.42,47.44,47.42,47.44,5500.0
47.405,47.42,47.405,47.41,5900.0
47.42,47.43,47.36,47.4,17750.0
47.42,47.44,47.4,47.41,4600.0
47.42,47.44,47.4,47.42,11059.0
47.41,47.42,47.4,47.41,16511.0
47.405,47.42,47.4,47.405,13650.0
47.41,47.42,47.4,47.4,9100.0
47.41,47.42,47.4,47.41,8780.0
47.425,47.43,47.4,47.405,5323.0
47.42,47.44,47.41,47.43,4796.0
47.44,47.45,47.43,47.43,10668.0
47.43,47.46,47.42,47.4357,9522.0
47.43,47.44,47.42,47.425,4811.0
47.4,47.43,47.4,47.43,15533.0
47.38,47.42,47.38,47.41,12580.0
47.359,47.39,47.359,47.38,5432.0
47.38,47.39,47.355,47.355,4117.0
47.4,47.415,47.38,47.38,13615.0
47.4,47.43,47.39,47.41,8820.0
47.39,47.43,47.39,47.41,9018.0
47.41,47.45,47.385,47.395,13822.0
47.42,47.43,47.4,47.41,3956.0
47.42,47.43,47.4,47.41,8300.0
47.43,47.43,47.41,47.41,2300.0
47.43,47.43,47.41,47.42,7023.0
47.43,47.43,47.41,47.42,2700.0
47.44,47.45,47.42,47.43,3380.0
47.43,47.45,47.425,47.435,5700.0
47.42,47.43,47.42,47.43,1950.0
47.42,47.42,47.41,47.42,1432.0
47.44,47.45,47.41,47.41,7000.0
47.44,47.45,47.42,47.44,12041.0
47.44,47.45,47.43,47.435,6700.0
47.47,47.48,47.43,47.44,12023.0
47.46,47.47,47.45,47.47,3273.0
47.47,47.47,47.465,47.465,800.0
47.459,47.47,47.459,47.46,2465.0
47.47,47.49,47.46,47.46,5946.0
47.44,47.48,47.44,47.47,6372.0
47.46,47.46,47.43,47.44,5900.0
47.445,47.46,47.44,47.45,1800.0
47.46,47.46,47.43,47.44,4479.0
47.45,47.46,47.45,47.45,3688.0
47.47,47.47,47.44,47.45,5290.0
47.49,47.49,47.47,47.47,2100.0
47.49,47.49,47.485,47.49,1900.0
47.48,47.495,47.47,47.49,9219.0
47.49,47.5,47.48,47.48,4500.0
47.49,47.49,47.49,47.49,800.0
47.49,47.49,47.47,47.48,4614.0
47.49,47.49,47.48,47.4825,6700.0
47.52,47.53,47.48,47.49,16014.0
47.52,47.535,47.5,47.52,10158.0
47.52,47.53,47.52,47.52,6600.0
47.52,47.53,47.51,47.51,1650.0
47.52,47.53,47.52,47.52,5200.0
47.54,47.54,47.52,47.52,7003.0
47.538,47.538,47.52,47.52,4903.0
47.54,47.54,47.52,47.53,6554.0
47.53,47.53,47.53,47.53,700.0
47.54,47.54,47.53,47.53,2300.0
47.53,47.53,47.53,47.53,700.0
47.53,47.54,47.53,47.53,1650.0
47.55,47.55,47.526,47.53,5300.0
47.56,47.56,47.54,47.55,7504.0
47.56,47.56,47.56,47.56,400.0
47.6,47.6,47.56,47.56,12079.0
47.58,47.6,47.5789,47.6,3120.0
47.62,47.66,47.52,47.6,31913.0
47.66,47.66,47.64,47.65,2200.0
47.69,47.69,47.655,47.66,4500.0
47.695,47.7,47.68,47.68,4971.0
47.7,47.71,47.68,47.7,19685.0
47.66,47.71,47.65,47.7,4200.0
47.66,47.67,47.655,47.66,5500.0
47.62,47.65,47.62,47.65,6892.0
47.62,47.65,47.62,47.62,2500.0
47.63,47.63,47.61,47.62,1700.0
47.605,47.64,47.6,47.64,4500.0
47.595,47.61,47.595,47.61,900.0
47.58,47.6,47.575,47.59,4400.0
47.57,47.59,47.565,47.58,2800.0
47.585,47.585,47.565,47.57,2300.0
47.61,47.61,47.58,47.5875,2620.0
47.63,47.63,47.6,47.61,2322.0
47.63,47.64,47.61,47.61,4075.0
47.63,47.64,47.63,47.63,2300.0
47.605,47.62,47.59,47.61,3200.0
47.62,47.62,47.6,47.61,3000.0
47.61,47.63,47.6,47.62,3000.0
47.64,47.64,47.6,47.61,2400.0
47.615,47.64,47.61,47.62,3415.0
47.63,47.63,47.62,47.62,2200.0
47.65,47.65,47.62,47.64,2600.0
47.62,47.645,47.61,47.63,3761.0
47.65,47.66,47.62,47.62,3900.0
47.615,47.65,47.615,47.64,2200.0
47.6,47.62,47.6,47.61,4343.0
47.62,47.62,47.6,47.61,1700.0
47.61,47.62,47.605,47.61,1600.0
47.62,47.63,47.6,47.6,3600.0
47.65,47.66,47.62,47.62,14450.0
47.64,47.67,47.63,47.65,4200.0
47.64,47.64,47.63,47.64,1100.0
47.625,47.64,47.61,47.64,4307.0
47.61,47.63,47.61,47.62,1800.0
47.5992,47.62,47.59,47.62,9200.0
47.5743,47.61,47.5716,47.6,3000.0
47.56,47.58,47.56,47.58,3200.0
47.59,47.6,47.57,47.57,3162.0
47.58,47.58,47.56,47.58,1100.0
47.57,47.58,47.57,47.58,1200.0
47.56,47.57,47.55,47.57,2200.0
47.57,47.57,47.56,47.56,2880.0
47.56,47.56,47.55,47.56,2500.0
47.56,47.56,47.56,47.56,200.0
47.57,47.57,47.55,47.55,2100.0
47.56,47.57,47.56,47.56,2400.0
47.57,47.58,47.56,47.56,4010.0
47.57,47.58,47.57,47.5751,2025.0
47.56,47.58,47.56,47.57,4600.0
47.59,47.59,47.56,47.56,4100.0
47.61,47.61,47.59,47.59,4500.0
47.63,47.64,47.6,47.6,4875.0
47.62,47.62,47.6,47.62,4098.0
47.62,47.63,47.62,47.62,1800.0
47.62,47.62,47.62,47.62,200.0
47.63,47.63,47.62,47.62,900.0
47.64,47.64,47.62,47.63,4211.0
47.63,47.64,47.62,47.64,4173.0
47.64,47.65,47.625,47.63,3999.0
47.64,47.65,47.64,47.64,2100.0
47.64,47.64,47.63,47.64,900.0
47.62,47.64,47.62,47.62,3000.0
47.62,47.62,47.61,47.62,800.0
47.62,47.62,47.62,47.62,300.0
47.61,47.62,47.6,47.62,3200.0
47.61,47.61,47.6,47.61,1600.0
47.605,47.61,47.605,47.61,375.0
47.6,47.61,47.6,47.61,1600.0
47.62,47.63,47.6,47.6,4100.0
47.62,47.63,47.61,47.62,3100.0
47.61,47.63,47.6,47.61,1900.0
47.62,47.62,47.6,47.61,1000.0
47.61,47.62,47.59,47.61,2950.0
47.59,47.6,47.59,47.6,1400.0
47.59,47.6,47.58,47.6,2500.0
47.57,47.59,47.57,47.58,2050.0
47.58,47.59,47.57,47.58,2500.0
47.56,47.59,47.56,47.58,2100.0
47.57,47.57,47.55,47.56,2000.0
47.56,47.57,47.56,47.57,1000.0
47.57,47.57,47.56,47.56,1800.0
47.58,47.58,47.56,47.57,4100.0
47.62,47.62,47.59,47.59,4046.0
47.6,47.62,47.59,47.61,5355.0
47.58,47.6,47.58,47.59,4456.0
47.575,47.59,47.56,47.58,3700.0
47.53,47.58,47.53,47.57,5000.0
47.53,47.56,47.53,47.54,3400.0
47.56,47.56,47.54,47.54,600.0
47.56,47.56,47.55,47.55,1000.0
47.56,47.56,47.55,47.56,1100.0
47.56,47.57,47.56,47.56,2845.0
47.55,47.56,47.54,47.56,2200.0
47.55,47.56,47.55,47.55,3000.0
47.57,47.58,47.555,47.56,5600.0
47.57,47.57,47.57,47.57,1500.0
47.575,47.58,47.575,47.58,600.0
47.58,47.58,47.575,47.58,300.0
47.58,47.58,47.58,47.58,900.0
47.6,47.6,47.58,47.58,3900.0
47.601,47.61,47.6,47.6,12500.0
47.61,47.62,47.6,47.6,5831.0
47.63,47.63,47.61,47.62,3000.0
47.6257,47.63,47.62,47.63,1300.0
47.64,47.64,47.63,47.63,1070.0
47.62,47.64,47.62,47.63,2300.0
47.61,47.62,47.6,47.62,4090.0
47.61,47.61,47.605,47.61,400.0
47.59,47.61,47.59,47.61,3900.0
47.595,47.6,47.59,47.6,1400.0
47.6,47.61,47.6,47.61,300.0
47.6,47.62,47.6,47.605,5299.0
47.61,47.62,47.61,47.61,1200.0
47.604,47.61,47.604,47.61,1450.0
47.62,47.63,47.61,47.61,6061.0
47.64,47.64,47.62,47.62,3300.0
47.63,47.64,47.62,47.63,2321.0
47.63,47.63,47.62,47.63,500.0
47.63,47.63,47.625,47.63,800.0
47.64,47.64,47.61,47.62,13891.0
47.64,47.64,47.64,47.64,300.0
47.65,47.65,47.64,47.64,4000.0
47.66,47.66,47.625,47.65,8234.0
47.68,47.69,47.66,47.66,2900.0
47.68,47.68,47.68,47.68,100.0
47.68,47.68,47.67,47.67,400.0
47.68,47.68,47.67,47.67,6899.0
47.68,47.68,47.679,47.679,400.0
47.68,47.68,47.67,47.68,1570.0
47.7,47.7,47.68,47.68,4100.0
47.7,47.7075,47.685,47.7,15166.0
47.73,47.73,47.71,47.71,1995.0
47.73,47.73,47.71,47.72,4700.0
47.72,47.72,47.7,47.72,3679.0
47.72,47.73,47.72,47.73,500.0
47.7275,47.73,47.71,47.72,6029.0
47.72,47.73,47.705,47.72,7899.0
47.72,47.72,47.715,47.715,1500.0
47.71,47.72,47.7,47.71,8200.0
47.695,47.71,47.69,47.71,4200.0
47.68,47.7,47.68,47.69,4819.0
47.68,47.7,47.68,47.69,5657.0
47.69,47.7,47.68,47.68,3615.0
47.695,47.7,47.68,47.69,1300.0
47.69,47.7,47.69,47.695,2008.0
47.69,47.7,47.68,47.7,6613.0
47.7,47.72,47.69,47.7,4700.0
47.7,47.72,47.69,47.7,2100.0
47.7,47.71,47.69,47.71,2230.0
47.72,47.73,47.7,47.7,2900.0
47.71,47.75,47.71,47.73,7677.0
47.72,47.72,47.71,47.72,600.0
47.73,47.73,47.71,47.72,2400.0
47.72,47.73,47.72,47.73,1100.0
47.72,47.73,47.71,47.725,5435.0
47.72,47.7287,47.71,47.725,5844.0
47.71,47.72,47.71,47.72,1508.0
47.73,47.73,47.71,47.715,4548.0
47.735,47.735,47.72,47.73,3913.0
47.74,47.74,47.72,47.73,2000.0
47.75,47.75,47.73,47.74,5680.0
47.75,47.75,47.74,47.7427,1807.0
47.74,47.75,47.73,47.745,9038.0
47.72,47.74,47.72,47.74,2327.0
47.73,47.73,47.7201,47.725,1300.0
47.73,47.73,47.725,47.725,700.0
47.7375,47.74,47.73,47.73,5961.0
47.7,47.74,47.69,47.73,14256.0
47.69,47.71,47.69,47.7,8200.0
47.7,47.705,47.69,47.69,4363.0
