Open,High,Low,Close,Volume
60.9,60.9,60.9,60.9,8740.0
60.99,61.0,60.88,61.0,2000.0
61.02,61.23,60.99,60.99,400.0
60.99,61.035,60.93,61.0,6800.0
61.06,61.06,60.97,60.97,800.0
61.11,61.11,61.05,61.05,1000.0
61.06,61.14,61.03,61.06,5800.0
61.11,61.19,61.0,61.06,8183.0
61.115,61.12,61.03,61.11,4483.0
61.084,61.084,61.084,61.084,199.0
61.17,61.17,61.1,61.1,2816.0
61.12,61.13,61.12,61.13,200.0
61.1,61.13,61.1,61.13,1198.0
61.15,61.15,61.112,61.112,1100.0
61.15,61.15,61.15,61.15,200.0
61.15,61.22,61.15,61.15,1400.0
61.15,61.18,61.15,61.18,200.0
61.15,61.16,61.15,61.16,600.0
61.15,61.18,61.15,61.18,1000.0
61.15,61.15,61.1,61.14,1800.0
61.15,61.16,61.1,61.16,700.0
61.135,61.135,61.135,61.135,500.0
61.19,61.19,61.15,61.19,300.0
61.165,61.165,61.165,61.165,100.0
61.165,61.165,61.165,61.165,1800.0
61.18,61.21,61.15,61.15,3100.0
61.09,61.17,61.09,61.165,1900.0
61.11,61.14,61.09,61.09,700.0
61.16,61.16,61.08,61.11,4722.0
61.19,61.21,61.16,61.17,3693.0
61.19,61.2,61.19,61.2,1286.0
61.2,61.2,61.16,61.16,500.0
61.195,61.22,61.18,61.2,900.0
61.2,61.2,61.2,61.2,400.0
61.22,61.22,61.18,61.22,1900.0
61.2,61.2,61.2,61.2,100.0
61.225,61.225,61.22,61.22,600.0
61.2,61.225,61.2,61.225,3400.0
61.17,61.23,61.17,61.21,1000.0
61.205,61.23,61.185,61.19,3543.0
61.25,61.25,61.2,61.22,2300.0
61.27,61.28,61.25,61.28,6666.0
61.26,61.27,61.23,61.27,3589.0
61.18,61.28,61.17,61.24,1700.0
61.19,61.19,61.17,61.17,1499.0
61.1,61.16,61.1,61.16,1150.0
61.1091,61.1091,61.1091,61.1091,202.0
61.09,61.13,61.07,61.08,4200.0
61.105,61.105,61.08,61.08,1519.0
61.12,61.12,61.08,61.1,3300.0
61.1,61.11,61.1,61.1,3634.0
61.1,61.1,61.1,61.1,200.0
61.12,61.12,61.09,61.09,300.0
61.1,61.12,61.09,61.1076,3630.0
61.15,61.15,61.12,61.12,211.0
61.11,61.15,61.11,61.15,700.0
61.14,61.14,61.11,61.13,500.0
61.1,61.13,61.1,61.12,2095.0
61.1,61.1,61.1,61.1,100.0
61.13,61.13,61.1,61.1,1073.0
61.14,61.15,61.14,61.15,300.0
61.15,61.18,61.14,61.14,4845.0
61.145,61.15,61.14,61.15,1308.0
61.19,61.19,61.14,61.14,2000.0
61.15,61.185,61.15,61.185,3700.0
61.15,61.15,61.15,61.15,547.0
61.15,61.165,61.15,61.16,2300.0
61.17,61.17,61.145,61.15,2870.0
61.15,61.18,61.15,61.17,600.0
61.17,61.17,61.17,61.17,100.0
61.17,61.17,61.15,61.17,300.0
61.15,61.18,61.15,61.18,600.0
61.15,61.16,61.14,61.1576,5042.0
61.14,61.14,61.14,61.14,100.0
61.15,61.16,61.14,61.16,600.0
61.15,61.152,61.15,61.15,700.0
61.15,61.155,61.15,61.15,3300.0
61.15,61.15,61.15,61.15,632.0
61.16,61.16,61.14,61.15,8538.0
61.18,61.18,61.16,61.16,920.0
61.19,61.21,61.19,61.19,900.0
61.1801,61.19,61.17,61.18,1500.0
61.17,61.17,61.17,61.17,200.0
61.22,61.22,61.18,61.19,1837.0
61.205,61.21,61.205,61.205,700.0
61.1947,61.22,61.18,61.205,2500.0
61.1767,61.1767,61.17,61.17,430.0
61.145,61.17,61.14,61.15,800.0
61.15,61.15,61.15,61.15,500.0
61.15,61.15,61.14,61.14,2300.0
61.16,61.16,61.14,61.14,1400.0
61.16,61.16,61.16,61.16,100.0
61.16,61.16,61.14,61.1599,5488.0
61.15,61.19,61.15,61.18,4000.0
61.17,61.17,61.15,61.15,600.0
61.175,61.175,61.175,61.175,600.0
61.19,61.19,61.1751,61.1751,300.0
61.175,61.18,61.17,61.17,1500.0
61.16,61.1733,61.16,61.1733,1300.0
61.17,61.2,61.165,61.17,6037.0
61.16,61.17,61.16,61.17,200.0
61.155,61.16,61.15,61.15,8000.0
61.155,61.155,61.1549,61.155,1800.0
61.2,61.2,61.155,61.155,2400.0
61.19,61.19,61.19,61.19,1900.0
61.18,61.18,61.18,61.18,2307.0
61.18,61.18,61.18,61.18,100.0
61.2,61.2,61.19,61.19,1200.0
61.19,61.2,61.19,61.19,1000.0
61.16,61.18,61.16,61.18,1100.0
61.13,61.14,61.13,61.14,800.0
61.13,61.13,61.1,61.1,1600.0
61.1,61.1,61.1,61.1,793.0
61.12,61.12,61.1,61.1,400.0
61.135,61.135,61.11,61.11,1400.0
61.15,61.15,61.15,61.15,1200.0
61.16,61.16,61.13,61.13,200.0
61.13,61.13,61.13,61.13,100.0
61.12,61.13,61.12,61.13,800.0
61.15,61.15,61.15,61.15,100.0
61.13,61.13,61.13,61.13,100.0
61.11,61.13,61.11,61.12,1599.0
61.1,61.1,61.1,61.1,100.0
61.08,61.1,61.08,61.1,1000.0
61.07,61.08,61.06,61.08,1000.0
61.07,61.07,61.05,61.05,2610.0
61.07,61.08,61.07,61.08,600.0
61.07,61.07,61.07,61.07,100.0
61.11,61.11,61.0897,61.09,600.0
61.11,61.11,61.09,61.11,1900.0
61.1299,61.13,61.12,61.12,2052.0
61.12,61.13,61.12,61.13,1000.0
61.15,61.15,61.13,61.13,500.0
61.13,61.15,61.115,61.15,2700.0
61.15,61.15,61.15,61.15,300.0
61.11,61.13,61.11,61.12,1136.0
61.13,61.13,61.13,61.13,100.0
61.08,61.1,61.08,61.1,1900.0
61.09,61.09,61.06,61.06,1000.0
61.09,61.1,61.09,61.1,900.0
61.08,61.11,61.08,61.11,300.0
61.08,61.08,61.08,61.08,100.0
61.12,61.12,61.1,61.11,1000.0
61.14,61.14,61.12,61.12,300.0
61.13,61.13,61.1,61.11,827.0
61.12,61.13,61.1,61.1,700.0
61.13,61.13,61.13,61.13,200.0
61.14,61.14,61.14,61.14,100.0
61.13,61.13,61.11,61.13,400.0
61.14,61.14,61.12,61.13,1066.0
61.14,61.15,61.14,61.14,1035.0
61.13,61.13,61.13,61.13,900.0
61.13,61.15,61.12,61.15,600.0
61.13,61.13,61.12,61.12,1200.0
61.1,61.1,61.1,61.1,100.0
61.13,61.14,61.1,61.1,900.0
61.11,61.11,61.11,61.11,400.0
61.13,61.13,61.11,61.11,700.0
61.11,61.13,61.11,61.13,700.0
61.11,61.11,61.11,61.11,700.0
61.13,61.13,61.11,61.11,900.0
61.11,61.14,61.11,61.14,400.0
61.11,61.12,61.105,61.12,592.0
61.15,61.15,61.11,61.11,831.0
61.15,61.15,61.15,61.15,994.0
61.15,61.15,61.13,61.13,1284.0
61.15,61.155,61.15,61.15,900.0
61.13,61.17,61.13,61.14,1809.0
61.13,61.14,61.13,61.14,200.0
61.16,61.16,61.14,61.15,1100.0
61.15,61.16,61.14,61.16,1000.0
61.16,61.16,61.16,61.16,100.0
61.14,61.16,61.14,61.16,500.0
61.15,61.165,61.15,61.165,300.0
61.15,61.16,61.15,61.15,2770.0
61.15,61.15,61.15,61.15,100.0
61.15,61.16,61.15,61.15,400.0
