Open,High,Low,Close,Volume
138.81,138.81,138.81,138.81,14903.0
139.16,139.4,138.675,138.8834,26597.0
139.48,139.49,139.27,139.39,3300.0
138.7168,139.5,138.54,139.49,8139.0
139.285,139.325,138.72,138.72,1900.0
139.1,139.1,138.97,139.0,930.0
138.63,139.11,138.63,139.11,4270.0
138.99,139.06,138.71,138.8299,7248.0
139.24,139.24,139.01,139.05,4428.0
139.61,139.61,139.37,139.37,1200.0
139.67,139.67,139.5,139.5,525.0
139.55,139.705,139.45,139.535,9461.0
139.87,139.89,139.54,139.59,7888.0
139.9,139.99,139.8573,139.86,3150.0
140.21,140.23,139.731,139.731,30280.0
139.76,140.2,139.76,140.2,2700.0
139.68,139.915,139.62,139.79,4629.0
139.76,139.93,139.72,139.84,2330.0
139.7255,139.83,139.4875,139.76,4324.0
139.74,139.84,139.64,139.7,8412.0
139.45,139.69,139.44,139.64,6999.0
139.21,139.45,139.21,139.45,7200.0
139.5,139.5,139.22,139.305,10315.0
140.3,140.46,139.4,139.5,13379.0
139.96,140.43,139.96,140.3024,9928.0
139.95,140.13,139.95,140.06,2800.0
140.0,140.14,139.89,139.92,7850.0
140.2334,140.34,139.89,139.935,6358.0
140.135,140.24,140.04,140.22,8990.0
140.0,140.04,139.81,140.0248,4031.0
139.94,140.09,139.88,139.995,3000.0
139.98,140.11,139.76,139.76,13893.0
139.86,140.06,139.83,139.98,4076.0
139.61,139.87,139.61,139.825,4900.0
139.405,139.62,139.37,139.62,8430.0
139.475,139.63,139.29,139.49,10200.0
139.4952,139.62,139.39,139.44,5467.0
139.405,139.56,139.36,139.48,9629.0
139.6659,139.6659,139.385,139.39,6895.0
139.7747,139.93,139.6,139.65,4301.0
139.55,139.745,139.55,139.685,2112.0
139.46,139.53,139.36,139.53,4800.0
139.24,139.5099,139.24,139.5099,5640.0
139.3125,139.35,139.04,139.21,3700.0
139.6184,139.66,139.37,139.37,4900.0
139.44,139.53,139.22,139.53,4350.0
139.37,139.4,139.28,139.4,2100.0
139.29,139.4,139.17,139.38,21228.0
139.44,139.45,139.26,139.28,8751.0
139.57,139.58,139.47,139.57,2913.0
139.5,139.6,139.47,139.58,17262.0
139.8,139.8,139.5,139.5,11426.0
139.725,139.76,139.71,139.76,3200.0
139.57,139.715,139.5,139.715,3700.0
139.64,139.65,139.5,139.59,14651.0
139.525,139.61,139.5,139.6,5756.0
139.59,139.64,139.525,139.57,2400.0
139.51,139.73,139.46,139.61,8477.0
139.46,139.54,139.4,139.51,8103.0
139.21,139.44,139.12,139.44,6599.0
139.19,139.24,139.11,139.24,11737.0
139.01,139.15,139.01,139.15,2900.0
139.025,139.125,139.0,139.05,6990.0
138.92,139.0299,138.8701,139.01,7452.0
138.7,138.95,138.6791,138.9,5528.0
138.75,138.84,138.72,138.72,3100.0
139.065,139.065,138.81,138.81,3675.0
139.14,139.2,139.035,139.065,1700.0
139.13,139.21,139.13,139.21,2588.0
139.1,139.31,139.06,139.14,3500.0
139.14,139.22,139.09,139.22,2600.0
138.9,139.06,138.8,139.05,3614.0
139.01,139.01,138.82,138.82,5150.0
139.06,139.06,138.9,139.06,4000.0
139.265,139.28,139.055,139.055,1100.0
139.14,139.34,139.14,139.29,5050.0
139.4,139.4,139.12,139.12,2400.0
139.45,139.51,139.39,139.39,2300.0
139.53,139.53,139.4394,139.4394,600.0
139.61,139.61,139.42,139.5585,3500.0
139.45,139.64,139.43,139.56,5739.0
139.45,139.669,139.43,139.51,7590.0
139.575,139.575,139.45,139.47,1364.0
139.56,139.63,139.52,139.63,1350.0
139.56,139.61,139.45,139.51,3100.0
139.57,139.645,139.53,139.53,1400.0
139.599,139.6,139.51,139.6,2104.0
139.6,139.72,139.52,139.53,5347.0
139.61,139.72,139.61,139.62,4800.0
139.62,139.72,139.58,139.67,3500.0
139.58,139.7,139.52,139.61,5871.0
139.53,139.6,139.485,139.57,6744.0
139.47,139.54,139.45,139.54,2100.0
139.45,139.5004,139.34,139.45,5600.0
139.42,139.42,139.33,139.42,550.0
139.3075,139.42,139.3,139.35,1700.0
139.44,139.44,139.335,139.39,2700.0
139.38,139.54,139.38,139.54,4228.0
139.452,139.47,139.44,139.44,2600.0
139.4,139.47,139.29,139.47,3399.0
139.44,139.62,139.3,139.425,10300.0
139.1275,139.44,139.09,139.44,5364.0
139.01,139.205,139.0,139.155,8038.0
139.0,139.075,139.0,139.06,8076.0
138.85,139.02,138.83,139.0,7807.0
138.96,138.99,138.79,138.86,13902.0
139.2199,139.2605,138.96,138.96,18133.0
139.25,139.26,139.07,139.21,7000.0
139.52,139.56,139.25,139.25,15300.0
139.38,139.49,139.3777,139.46,2407.0
139.16,139.34,139.16,139.34,1500.0
139.0,139.2095,138.97,139.16,4176.0
138.98,139.055,138.96,139.0,1910.0
139.04,139.04,138.92,138.97,1550.0
139.09,139.09,139.05,139.05,200.0
139.1,139.1531,139.05,139.1,3374.0
139.2,139.2,139.08,139.1,1700.0
139.17,139.19,139.16,139.16,300.0
139.31,139.31,139.21,139.21,1416.0
139.37,139.37,139.29,139.29,400.0
139.31,139.365,139.2125,139.365,2800.0
139.37,139.45,139.37,139.375,2500.0
139.33,139.39,139.33,139.38,1700.0
139.32,139.32,139.28,139.28,300.0
139.26,139.32,139.26,139.32,1800.0
139.35,139.41,139.19,139.29,3018.0
139.456,139.456,139.445,139.445,259.0
139.58,139.58,139.445,139.445,500.0
139.54,139.61,139.5001,139.61,1500.0
139.6,139.6,139.6,139.6,100.0
139.45,139.57,139.4,139.53,2200.0
139.54,139.57,139.42,139.43,1100.0
139.695,139.695,139.6,139.6,815.0
139.62,139.72,139.62,139.68,1000.0
139.6887,139.6887,139.5,139.62,2500.0
139.81,139.81,139.65,139.7275,3000.0
139.94,139.97,139.83,139.83,682.0
139.945,139.945,139.8,139.9,1700.0
139.77,139.91,139.77,139.91,1900.0
139.97,139.97,139.77,139.77,6164.0
139.8554,139.94,139.81,139.88,2350.0
139.81,139.9,139.8,139.8,1196.0
140.08,140.15,139.81,139.81,17103.0
140.0,140.05,139.93,140.0,2400.0
140.255,140.28,140.05,140.05,5505.0
140.27,140.35,140.23,140.27,7804.0
140.185,140.275,140.17,140.275,5016.0
140.37,140.37,140.12,140.12,2500.0
140.4,140.43,140.36,140.3957,2725.0
140.63,140.66,140.43,140.43,10871.0
140.57,140.66,140.52,140.59,2100.0
140.5479,140.66,140.51,140.57,1925.0
140.33,140.55,140.33,140.55,3650.0
140.3268,140.3432,140.29,140.3432,600.0
140.21,140.32,140.18,140.28,1800.0
140.355,140.36,140.2,140.25,4200.0
140.41,140.41,140.22,140.33,3600.0
140.48,140.49,140.37,140.42,2400.0
140.25,140.44,140.25,140.44,6200.0
140.24,140.3,140.23,140.2957,1100.0
140.22,140.36,140.22,140.29,2300.0
140.12,140.21,140.12,140.21,1500.0
140.105,140.145,140.05,140.145,1700.0
140.03,140.1,140.02,140.05,1300.0
140.055,140.06,140.0,140.03,5863.0
140.055,140.055,140.0,140.02,1500.0
140.0924,140.12,140.04,140.05,2550.0
139.99,140.105,139.99,140.105,1950.0
139.925,139.96,139.86,139.96,2300.0
139.95,139.975,139.95,139.96,1000.0
139.975,140.03,139.975,140.02,1826.0
139.94,140.045,139.92,140.0,3100.0
139.935,139.935,139.935,139.935,100.0
139.98,139.98,139.98,139.98,100.0
139.97,139.97,139.91,139.935,1400.0
139.97,140.0,139.89,139.97,2900.0
139.98,140.01,139.97,139.97,500.0
140.0,140.01,139.97,139.97,1200.0
139.98,140.08,139.98,140.02,3650.0
140.0,140.0,140.0,140.0,100.0
140.02,140.09,140.02,140.02,2100.0
139.93,140.015,139.92,140.015,1355.0
139.91,139.945,139.9,139.91,800.0
139.89,139.93,139.89,139.93,900.0
139.97,139.97,139.97,139.97,200.0
139.82,139.94,139.81,139.9,3300.0
139.79,139.91,139.79,139.89,2000.0
140.0,140.0,139.84,139.84,1940.0
139.795,139.9599,139.7601,139.91,2695.0
139.82,139.84,139.73,139.79,3100.0
139.77,139.83,139.74,139.82,1200.0
139.74,139.8113,139.74,139.8113,1000.0
139.7,139.825,139.62,139.825,2000.0
139.79,139.85,139.6625,139.6625,2000.0
139.95,139.95,139.84,139.84,700.0
139.92,140.0,139.92,139.95,3034.0
139.955,139.97,139.89,139.92,800.0
139.855,139.9404,139.82,139.91,1600.0
139.695,139.8409,139.68,139.83,2900.0
139.75,139.81,139.68,139.74,2500.0
139.725,139.77,139.59,139.77,2900.0
139.725,139.725,139.725,139.725,100.0
139.51,139.715,139.41,139.715,6600.0
139.545,139.64,139.53,139.53,7600.0
139.565,139.62,139.5,139.55,2900.0
139.53,139.55,139.5,139.53,800.0
139.6001,139.68,139.445,139.535,4800.0
139.62,139.66,139.49,139.655,7450.0
139.705,139.705,139.62,139.62,2300.0
139.67,139.72,139.6567,139.72,800.0
139.54,139.7,139.54,139.7,2000.0
139.5128,139.54,139.42,139.54,1800.0
139.475,139.535,139.43,139.51,1182.0
139.58,139.58,139.52,139.52,335.0
139.49,139.5618,139.45,139.56,2200.0
139.41,139.48,139.41,139.46,1000.0
139.26,139.45,139.26,139.45,2000.0
139.355,139.37,139.24,139.24,2120.0
139.31,139.355,139.27,139.3,1600.0
139.36,139.36,139.29,139.3,1700.0
139.21,139.37,139.21,139.36,1700.0
139.14,139.23,139.14,139.2,3300.0
139.19,139.245,139.165,139.165,1100.0
139.095,139.155,139.08,139.14,1226.0
139.215,139.27,139.08,139.08,1900.0
139.215,139.215,139.16,139.16,200.0
139.235,139.2669,139.21,139.2669,750.0
139.2658,139.27,139.2,139.27,700.0
139.13,139.295,139.13,139.2686,1300.0
139.02,139.09,139.02,139.08,1000.0
139.065,139.15,139.02,139.02,2400.0
139.02,139.075,139.01,139.02,2300.0
139.0,139.04,138.99,139.02,4100.0
139.02,139.07,139.02,139.07,900.0
139.01,139.055,138.96,139.02,2995.0
138.98,139.04,138.94,138.97,3300.0
139.08,139.09,138.92,138.95,4813.0
139.1495,139.1495,139.09,139.09,300.0
138.93,139.135,138.93,139.1325,1600.0
138.985,138.985,138.985,138.985,100.0
139.11,139.11,139.05,139.06,2600.0
139.09,139.11,139.09,139.11,200.0
138.99,139.05,138.95,139.01,4700.0
139.1,139.15,139.02,139.02,2000.0
139.05,139.15,139.04,139.14,1000.0
139.08,139.1,139.04,139.04,1500.0
139.12,139.12,139.08,139.08,200.0
139.2,139.2,139.14,139.14,300.0
139.26,139.26,139.22,139.23,700.0
139.22,139.28,139.22,139.28,200.0
139.22,139.27,139.22,139.27,4761.0
139.295,139.295,139.22,139.22,1843.0
139.305,139.33,139.305,139.32,300.0
139.17,139.33,139.17,139.3,3300.0
139.13,139.22,139.12,139.13,1800.0
139.15,139.15,139.12,139.12,400.0
139.32,139.32,139.08,139.09,2400.0
139.31,139.3299,139.25,139.31,2900.0
139.19,139.27,139.18,139.24,1200.0
139.285,139.285,139.1,139.15,3300.0
139.4,139.4,139.26,139.27,1089.0
139.3,139.365,139.22,139.3,2300.0
139.3403,139.3403,139.28,139.28,600.0
139.41,139.489,139.36,139.36,900.0
139.5,139.5,139.41,139.5,2835.0
139.44,139.47,139.4,139.47,1500.0
139.445,139.445,139.445,139.445,100.0
139.33,139.4075,139.33,139.38,1309.0
139.47,139.47,139.46,139.46,500.0
139.5699,139.5699,139.47,139.505,500.0
139.425,139.5,139.42,139.5,1700.0
139.5,139.5,139.425,139.425,500.0
139.56,139.56,139.54,139.55,500.0
139.59,139.63,139.57,139.57,500.0
139.49,139.585,139.49,139.585,1200.0
139.38,139.51,139.38,139.51,1600.0
139.33,139.4115,139.33,139.41,1900.0
139.17,139.285,139.14,139.27,1300.0
139.2,139.295,139.2,139.2,3335.0
139.35,139.35,139.25,139.25,500.0
139.32,139.34,139.3,139.3,600.0
139.27,139.325,139.248,139.325,1900.0
139.34,139.365,139.31,139.31,1200.0
139.46,139.46,139.3575,139.3575,1234.0
139.58,139.59,139.44,139.44,4489.0
139.69,139.7,139.58,139.58,1000.0
139.56,139.715,139.56,139.69,2315.0
