Open,High,Low,Close,Volume
31.87,31.87,31.86,31.87,153526.0
31.76,31.84,31.7,31.82,30628.0
31.83,31.85,31.7,31.77,28866.0
31.84,31.85,31.81,31.83,5106.0
31.86,31.88,31.81,31.81,29205.0
31.8398,31.86,31.81,31.86,30703.0
31.72,31.835,31.715,31.835,16468.0
31.74,31.75,31.72,31.72,10694.0
31.739,31.74,31.695,31.73,23009.0
31.77,31.77,31.7,31.73,16217.0
31.82,31.82,31.77,31.77,12380.0
31.85,31.85,31.8007,31.81,24699.0
31.885,31.92,31.84,31.84,71711.0
31.91,31.915,31.88,31.88,15684.0
31.915,31.955,31.91,31.92,29908.0
31.91,31.92,31.89,31.915,18388.0
31.93,31.93,31.885,31.905,13000.0
31.92,31.95,31.9,31.93,24738.0
31.92,31.93,31.89,31.915,15200.0
31.9,31.92,31.87,31.915,29611.0
31.905,31.91,31.88,31.91,18042.0
31.865,31.905,31.86,31.905,9060.0
31.9,31.9,31.865,31.87,11220.0
31.895,31.91,31.87,31.895,29553.0
31.95,31.95,31.89,31.895,40919.0
31.88,31.955,31.86,31.95,55048.0
31.925,31.925,31.86,31.89,57427.0
31.93,31.93,31.9,31.92,15193.0
31.945,31.955,31.92,31.93,25688.0
31.98,32.0,31.9412,31.95,86396.0
31.99,32.0,31.98,31.98,19804.0
31.995,32.0,31.97,32.0,40844.0
32.09,32.09,31.98,31.99,253115.0
31.99,32.09,31.99,32.08,142735.0
32.035,32.04,31.99,31.998,25463.0
32.0,32.04,32.0,32.03,28957.0
32.04,32.05,32.0,32.005,13819.0
32.045,32.05,32.03,32.03,4203.0
32.04,32.0499,32.02,32.0401,13513.0
32.035,32.07,32.0201,32.04,18182.0
32.01,32.035,32.0,32.035,19711.0
32.025,32.04,32.0,32.0001,6300.0
32.0,32.03,31.965,32.02,23617.0
31.98,32.0301,31.975,32.0,18703.0
31.96,31.9825,31.95,31.98,9203.0
31.99,32.0,31.93,31.955,9442.0
31.97,32.0,31.97,32.0,6360.0
31.99,32.0,31.98,31.98,13625.0
32.03,32.03,32.0,32.0,38536.0
32.0399,32.06,32.015,32.03,25111.0
32.05,32.05,32.01,32.03,9820.0
32.04,32.06,32.0289,32.05,14651.0
32.04,32.06,32.03,32.035,10002.0
32.03,32.055,32.02,32.03,12650.0
32.02,32.05,32.015,32.04,24703.0
32.03,32.03,32.015,32.03,5482.0
32.04,32.0455,32.03,32.035,7514.0
32.035,32.065,32.02,32.03,25989.0
32.03,32.04,32.02,32.035,8950.0
32.01,32.04,32.01,32.03,2963.0
32.025,32.04,32.01,32.016,5099.0
32.01,32.02,32.01,32.02,3048.0
32.015,32.02,32.0,32.01,9216.0
32.025,32.03,31.99,32.01,34952.0
32.02,32.027,32.02,32.02,6150.0
32.0,32.02,31.995,32.0101,10432.0
32.025,32.03,32.005,32.01,10859.0
32.01,32.03,32.0,32.03,8047.0
32.005,32.02,32.005,32.02,7400.0
32.02,32.05,32.0,32.01,39845.0
32.03,32.0371,32.015,32.03,26469.0
32.0494,32.05,32.03,32.04,15398.0
32.06,32.08,32.035,32.04,41785.0
32.065,32.07,32.06,32.06,9250.0
32.09,32.09,32.06,32.06,33043.0
32.08,32.09,32.08,32.085,7800.0
32.12,32.125,32.08,32.086,79222.0
32.11,32.13,32.11,32.115,86050.0
32.11,32.125,32.095,32.12,70491.0
