Open,High,Low,Close,Volume
34.48,35.44,34.48,35.44,6730.0
35.3,35.4103,35.3,35.4103,240.0
35.46,35.46,35.41,35.45,6323.0
35.41,35.42,35.41,35.41,2150.0
35.5,35.5,35.45,35.45,600.0
35.58,35.58,35.49,35.5,4100.0
35.58,35.59,35.58,35.58,2500.0
35.62,35.63,35.5901,35.5901,2670.0
35.64,35.65,35.63,35.65,1612.0
35.65,35.65,35.6,35.64,184564.0
35.69,35.7,35.63,35.64,18943.0
35.68,35.71,35.65,35.7,6581.0
35.59,35.67,35.59,35.67,5400.0
35.65,35.65,35.59,35.59,1900.0
35.59,35.66,35.59,35.66,5930.0
35.59,35.6,35.58,35.58,1535.0
35.6,35.61,35.59,35.61,2110.0
35.58,35.61,35.58,35.6,4364.0
35.6,35.62,35.58,35.59,4150.0
35.58,35.6,35.58,35.59,5242.0
35.58,35.6,35.58,35.58,4200.0
35.56,35.61,35.55,35.58,6495.0
35.61,35.61,35.56,35.56,2712.0
35.6,35.61,35.58,35.61,5995.0
35.59,35.6,35.59,35.59,1200.0
35.56,35.61,35.56,35.6,7369.0
35.58,35.59,35.565,35.57,2600.0
35.58,35.59,35.58,35.59,2466.0
35.59,35.59,35.59,35.59,800.0
35.58,35.605,35.56,35.58,4145.0
35.61,35.61,35.58,35.581,4000.0
35.64,35.64,35.6,35.61,2312.0
35.64,35.64,35.63,35.64,2400.0
35.635,35.65,35.62,35.64,9211.0
35.62,35.63,35.6,35.63,9212.0
35.58,35.61,35.58,35.61,4866.0
35.57,35.59,35.57,35.58,2400.0
35.57,35.59,35.57,35.58,3377.0
35.59,35.59,35.57,35.58,2400.0
35.59,35.59,35.575,35.59,4693.0
35.575,35.59,35.57,35.59,8682.0
35.6,35.6,35.58,35.58,5000.0
35.6,35.61,35.59,35.59,5100.0
35.61,35.61,35.58,35.6,7510.0
35.6,35.61,35.595,35.61,1700.0
35.59,35.6,35.58,35.59,8400.0
35.59,35.605,35.585,35.59,2800.0
35.58,35.6,35.58,35.59,5200.0
35.59,35.595,35.58,35.58,1598.0
35.58,35.59,35.58,35.585,900.0
35.58,35.6,35.57,35.59,5942.0
35.58,35.59,35.56,35.57,10584.0
35.57,35.58,35.57,35.57,2600.0
35.6,35.6,35.57,35.58,5560.0
35.59,35.6,35.58,35.59,6900.0
35.59,35.6,35.58,35.59,5587.0
35.59,35.6,35.59,35.59,1012.0
35.58,35.595,35.58,35.59,4446.0
35.6,35.61,35.59,35.59,5697.0
35.625,35.63,35.61,35.61,7127.0
35.6,35.63,35.6,35.61,2600.0
35.61,35.62,35.6,35.6,2000.0
35.61,35.63,35.61,35.61,2100.0
35.58,35.625,35.55,35.615,26500.0
35.58,35.59,35.57,35.58,3800.0
35.6,35.6,35.58,35.59,1300.0
35.48,35.5925,35.48,35.59,19577.0
35.51,35.51,35.48,35.48,10126.0
35.47,35.5,35.47,35.49,5700.0
35.44,35.47,35.44,35.47,4135.0
35.45,35.45,35.4432,35.4432,2041.0
35.46,35.465,35.45,35.45,1294.0
35.48,35.49,35.47,35.47,5300.0
35.425,35.47,35.425,35.47,8991.0
35.41,35.44,35.41,35.42,7600.0
35.37,35.4,35.36,35.4,4500.0
35.35,35.37,35.34,35.36,2833.0
