Open,High,Low,Close,Volume
25.87,26.06,25.87,26.06,5604.0
25.88,25.98,25.86,25.98,2000.0
25.69,25.85,25.69,25.85,700.0
25.76,25.79,25.63,25.79,2700.0
25.71,25.7322,25.71,25.7322,478.0
25.8,25.81,25.735,25.735,1700.0
25.79,25.81,25.79,25.8,700.0
25.72,25.72,25.72,25.72,200.0
25.67,25.72,25.67,25.72,500.0
25.59,25.71,25.59,25.71,500.0
25.5901,25.5901,25.5901,25.5901,200.0
25.59,25.59,25.59,25.59,400.0
25.48,25.57,25.48,25.57,600.0
25.47,25.47,25.47,25.47,300.0
25.5,25.53,25.47,25.495,2389.0
25.38,25.49,25.38,25.47,5541.0
25.38,25.4,25.3001,25.36,2500.0
25.34,25.36,25.34,25.36,600.0
25.22,25.36,25.21,25.36,500.0
25.22,25.27,25.22,25.26,800.0
25.25,25.25,25.18,25.25,5958.0
25.42,25.42,25.235,25.235,1950.0
25.395,25.42,25.395,25.42,4100.0
25.37,25.42,25.37,25.39,600.0
25.395,25.42,25.3947,25.3947,1149.0
25.3701,25.3701,25.3701,25.3701,400.0
25.45,25.45,25.395,25.42,1300.0
25.49,25.49,25.41,25.44,1600.0
25.58,25.58,25.5,25.5,400.0
25.64,25.66,25.58,25.58,1300.0
25.7,25.7,25.65,25.65,800.0
25.69,25.7,25.69,25.7,200.0
25.7,25.7,25.69,25.69,300.0
25.67,25.67,25.64,25.64,200.0
25.66,25.66,25.64,25.64,200.0
25.64,25.64,25.64,25.64,100.0
25.64,25.64,25.6,25.6,1000.0
25.65,25.65,25.65,25.65,100.0
25.74,25.74,25.65,25.65,1488.0
25.745,25.745,25.745,25.745,100.0
25.77,25.77,25.77,25.77,100.0
25.75,25.75,25.75,25.75,100.0
25.75,25.75,25.75,25.75,100.0
25.825,25.825,25.76,25.77,900.0
25.82,25.82,25.81,25.82,2246.0
25.83,25.83,25.81,25.81,600.0
25.835,25.835,25.835,25.835,100.0
25.87,25.87,25.85,25.85,300.0
25.98,26.0,25.87,25.87,1287.0
26.0,26.02,26.0,26.02,200.0
26.01,26.01,25.995,25.995,200.0
25.9801,25.9801,25.9801,25.9801,100.0
26.01,26.03,26.01,26.02,1200.0
26.06,26.06,26.025,26.025,400.0
26.06,26.1,26.05,26.05,3092.0
26.13,26.13,26.11,26.11,400.0
26.18,26.18,26.16,26.16,400.0
26.2,26.2,26.17,26.17,500.0
26.18,26.2,26.18,26.2,1315.0
26.18,26.19,26.16,26.18,2000.0
26.135,26.135,26.13,26.1301,300.0
26.135,26.135,26.135,26.135,100.0
26.12,26.12,26.12,26.12,200.0
26.1,26.12,26.1,26.11,1026.0
26.07,26.07,26.07,26.07,100.0
26.07,26.095,26.07,26.095,200.0
26.05,26.05,26.05,26.05,100.0
26.0401,26.06,26.04,26.05,1500.0
26.04,26.04,26.04,26.04,300.0
26.06,26.06,26.04,26.04,699.0
26.02,26.02,26.02,26.02,100.0
25.98,26.0,25.98,26.0,400.0
25.9801,25.9801,25.98,25.98,400.0
25.94,25.98,25.94,25.98,1400.0
25.92,25.93,25.91,25.92,700.0
25.85,25.9,25.85,25.9,900.0
25.83,25.87,25.83,25.86,2000.0
25.81,25.82,25.79,25.8,1900.0
25.76,25.79,25.76,25.78,800.0
25.87,25.87,25.76,25.76,2699.0
25.91,25.91,25.845,25.845,500.0
25.89,25.89,25.86,25.86,800.0
25.95,25.95,25.89,25.89,825.0
25.9,25.9,25.9,25.9,1200.0
25.91,25.91,25.9,25.9,988.0
25.91,25.92,25.91,25.92,200.0
25.89,25.89,25.89,25.89,100.0
25.89,25.89,25.89,25.89,100.0
25.85,25.88,25.85,25.88,600.0
25.85,25.855,25.85,25.85,400.0
25.89,25.89,25.855,25.86,1400.0
25.905,25.905,25.905,25.905,100.0
25.89,25.9,25.88,25.9,1500.0
25.86,25.86,25.855,25.86,500.0
25.85,25.855,25.85,25.855,200.0
25.8401,25.8401,25.84,25.84,200.0
25.84,25.84,25.84,25.84,100.0
25.84,25.84,25.84,25.84,500.0
25.83,25.85,25.83,25.84,1000.0
25.84,25.84,25.84,25.84,100.0
25.81,25.83,25.8,25.83,1100.0
25.75,25.77,25.75,25.77,600.0
25.76,25.76,25.76,25.76,100.0
25.74,25.74,25.73,25.74,500.0
25.72,25.74,25.72,25.73,700.0
25.72,25.72,25.7,25.7,400.0
25.65,25.68,25.65,25.68,500.0
25.6301,25.68,25.6301,25.68,700.0
25.62,25.65,25.62,25.65,500.0
25.6,25.6002,25.6,25.6002,374.0
25.57,25.6,25.57,25.6,1191.0
25.545,25.6,25.545,25.6,700.0
25.55,25.55,25.53,25.55,700.0
25.57,25.57,25.54,25.54,1000.0
25.59,25.61,25.58,25.58,1695.0
25.6,25.62,25.6,25.61,600.0
25.62,25.62,25.5901,25.5901,200.0
25.6,25.6,25.59,25.59,400.0
25.61,25.62,25.605,25.62,1010.0
25.62,25.62,25.6101,25.6101,400.0
25.64,25.64,25.64,25.64,100.0
25.71,25.71,25.64,25.65,900.0
25.71,25.71,25.67,25.67,800.0
25.71,25.71,25.71,25.71,290.0
25.69,25.7,25.69,25.69,1053.0
25.7,25.7,25.69,25.69,623.0
25.68,25.71,25.68,25.71,500.0
25.7,25.7,25.7,25.7,300.0
25.6846,25.6846,25.6846,25.6846,100.0
25.69,25.69,25.69,25.69,100.0
25.66,25.69,25.65,25.69,1603.0
25.6,25.63,25.6,25.63,800.0
25.56,25.61,25.56,25.605,400.0
25.58,25.58,25.58,25.58,100.0
25.58,25.58,25.545,25.58,2375.0
25.59,25.59,25.59,25.59,200.0
25.57,25.57,25.555,25.565,800.0
25.58,25.58,25.56,25.56,300.0
25.58,25.59,25.57,25.59,300.0
25.59,25.59,25.5701,25.5701,300.0
25.58,25.6,25.58,25.6,300.0
25.585,25.59,25.585,25.59,500.0
25.58,25.585,25.58,25.585,600.0
25.575,25.575,25.575,25.575,100.0
25.575,25.58,25.575,25.58,500.0
25.56,25.59,25.56,25.59,900.0
25.545,25.56,25.5401,25.545,500.0
25.58,25.58,25.555,25.57,800.0
25.59,25.59,25.59,25.59,100.0
25.57,25.57,25.57,25.57,100.0
25.6,25.6,25.57,25.57,700.0
25.61,25.61,25.61,25.61,200.0
25.66,25.66,25.66,25.66,100.0
25.66,25.66,25.65,25.65,400.0
25.6,25.65,25.6,25.65,1900.0
