Open,High,Low,Close,Volume
44.17,44.17,44.17,44.17,960.0
44.2,44.5,44.2,44.5,300.0
44.485,44.485,44.18,44.18,2900.0
44.48,44.48,44.48,44.48,100.0
44.45,44.45,44.45,44.45,100.0
44.18,44.18,44.18,44.18,100.0
44.33,44.395,44.24,44.24,900.0
44.32,44.32,44.32,44.32,100.0
44.3,44.38,44.3,44.36,700.0
44.33,44.35,44.28,44.33,1600.0
44.33,44.35,44.33,44.35,500.0
44.33,44.39,44.33,44.39,700.0
44.32,44.32,44.32,44.32,200.0
44.295,44.32,44.23,44.32,700.0
44.25,44.29,44.25,44.29,300.0
44.24,44.26,44.24,44.26,732.0
44.22,44.25,44.17,44.21,1200.0
44.17,44.215,44.17,44.215,200.0
44.24,44.24,44.205,44.205,900.0
44.21,44.23,44.21,44.21,1190.0
44.1625,44.19,44.16,44.19,4300.0
44.19,44.19,44.19,44.19,200.0
44.23,44.23,44.19,44.19,858.0
44.29,44.29,44.26,44.26,200.0
44.28,44.28,44.26,44.26,1500.0
44.29,44.29,44.29,44.29,100.0
44.23,44.27,44.19,44.27,1500.0
44.22,44.23,44.22,44.22,400.0
44.31,44.31,44.24,44.25,1495.0
44.32,44.32,44.32,44.32,200.0
44.3,44.32,44.27,44.28,2200.0
44.32,44.34,44.28,44.34,800.0
44.32,44.32,44.32,44.32,300.0
44.3,44.35,44.3,44.35,2900.0
44.32,44.33,44.3,44.31,1600.0
44.33,44.33,44.33,44.33,200.0
44.33,44.33,44.32,44.32,200.0
44.33,44.33,44.32,44.33,900.0
44.34,44.34,44.33,44.33,850.0
44.39,44.4,44.32,44.33,2516.0
44.38,44.38,44.38,44.38,100.0
44.365,44.37,44.36,44.37,1000.0
44.37,44.37,44.35,44.36,2100.0
44.32,44.35,44.32,44.35,1598.0
44.32,44.32,44.32,44.32,800.0
44.33,44.33,44.32,44.32,200.0
44.32,44.34,44.31,44.34,16012.0
44.33,44.33,44.315,44.32,1626.0
44.33,44.34,44.33,44.34,200.0
44.33,44.33,44.33,44.33,1158.0
44.32,44.325,44.32,44.325,800.0
44.33,44.37,44.32,44.32,5200.0
44.37,44.37,44.37,44.37,400.0
44.38,44.38,44.38,44.38,600.0
44.36,44.36,44.34,44.34,1300.0
44.36,44.36,44.36,44.36,400.0
44.345,44.36,44.345,44.36,1400.0
44.29,44.33,44.29,44.33,1400.0
44.28,44.29,44.27,44.29,600.0
44.2799,44.29,44.2799,44.29,300.0
44.28,44.28,44.28,44.28,200.0
44.27,44.29,44.27,44.28,3500.0
44.25,44.27,44.25,44.27,1182.0
44.22,44.24,44.22,44.24,500.0
44.2,44.2,44.2,44.2,1300.0
44.22,44.22,44.2,44.2,1202.0
44.215,44.22,44.2,44.22,600.0
44.21,44.22,44.21,44.22,300.0
44.18,44.21,44.18,44.21,1982.0
44.17,44.17,44.17,44.17,300.0
44.19,44.19,44.18,44.18,700.0
44.22,44.22,44.2,44.2,2543.0
44.16,44.24,44.16,44.24,2633.0
44.15,44.18,44.12,44.16,1164.0
44.12,44.13,44.12,44.12,710.0
44.18,44.18,44.13,44.13,900.0
44.11,44.17,44.11,44.17,1864.0
44.07,44.1,44.07,44.09,500.0
44.06,44.06,44.06,44.06,100.0
44.1,44.11,44.07,44.07,1050.0
44.09,44.12,44.09,44.12,900.0
44.06,44.08,44.06,44.08,600.0
44.07,44.07,44.06,44.06,500.0
44.095,44.095,44.095,44.095,200.0
44.12,44.12,44.07,44.07,622.0
44.13,44.13,44.13,44.13,100.0
44.14,44.14,44.14,44.14,300.0
44.13,44.14,44.13,44.14,400.0
44.14,44.14,44.14,44.14,300.0
44.15,44.15,44.15,44.15,500.0
44.17,44.175,44.14,44.175,2650.0
44.16,44.18,44.14,44.18,1000.0
44.14,44.16,44.12,44.16,3417.0
44.15,44.18,44.15,44.18,2166.0
44.13,44.14,44.13,44.14,700.0
44.11,44.13,44.11,44.13,400.0
44.09,44.105,44.09,44.105,300.0
44.08,44.08,44.08,44.08,800.0
44.1,44.1,44.08,44.08,345.0
44.06,44.0999,44.06,44.0999,800.0
44.03,44.03,44.03,44.03,500.0
43.98,43.98,43.98,43.98,100.0
44.01,44.01,43.99,44.0,400.0
43.95,43.98,43.95,43.98,892.0
43.95,43.95,43.95,43.95,100.0
43.87,43.9,43.87,43.9,400.0
43.89,43.89,43.89,43.89,600.0
43.87,43.88,43.87,43.88,300.0
43.88,43.88,43.88,43.88,100.0
43.9099,43.91,43.89,43.91,900.0
43.91,43.91,43.9,43.9,200.0
43.91,43.91,43.9,43.9,1200.0
43.855,43.9,43.85,43.89,2300.0
43.85,43.85,43.85,43.85,300.0
43.85,43.85,43.85,43.85,100.0
43.85,43.85,43.83,43.83,600.0
43.87,43.87,43.86,43.86,1100.0
43.83,43.83,43.83,43.83,100.0
43.82,43.83,43.81,43.83,1800.0
43.83,43.83,43.83,43.83,100.0
43.83,43.83,43.82,43.83,900.0
43.81,43.81,43.81,43.81,100.0
43.83,43.83,43.83,43.83,200.0
43.88,43.88,43.83,43.83,1000.0
43.86,43.87,43.86,43.87,400.0
43.85,43.87,43.85,43.87,1458.0
43.87,43.87,43.85,43.85,500.0
43.9,43.91,43.87,43.87,3013.0
43.9,43.9,43.9,43.9,687.0
43.94,43.95,43.9,43.9,3600.0
43.95,43.95,43.945,43.945,1584.0
44.03,44.08,43.95,43.955,4800.0
44.03,44.03,44.03,44.03,600.0
44.0327,44.04,44.03,44.03,538.0
44.03,44.04,44.01,44.01,1480.0
44.09,44.1,44.04,44.04,500.0
44.07,44.09,44.07,44.08,1340.0
44.08,44.08,44.06,44.06,700.0
44.04,44.05,44.02,44.05,1100.0
44.06,44.06,44.04,44.04,600.0
44.05,44.06,44.05,44.06,200.0
44.1,44.1,44.06,44.07,800.0
44.1,44.1,44.1,44.1,400.0
44.11,44.11,44.11,44.11,100.0
44.14,44.14,44.14,44.14,100.0
44.15,44.17,44.13,44.13,1000.0
44.12,44.14,44.12,44.14,900.0
44.1,44.13,44.1,44.13,500.0
44.11,44.11,44.11,44.11,100.0
44.09,44.09,44.08,44.09,1075.0
44.09,44.09,44.09,44.09,400.0
44.11,44.14,44.09,44.09,800.0
44.13,44.13,44.12,44.12,700.0
44.09,44.14,44.09,44.14,1100.0
44.09,44.09,44.09,44.09,400.0
44.07,44.09,44.07,44.09,400.0
44.06,44.06,44.06,44.06,400.0
44.08,44.08,44.06,44.06,700.0
44.09,44.09,44.09,44.09,100.0
44.11,44.1199,44.11,44.1199,200.0
44.1,44.1,44.08,44.09,400.0
44.1,44.12,44.1,44.12,500.0
44.05,44.1,44.05,44.1,1400.0
44.03,44.04,44.01,44.04,600.0
44.03,44.03,44.03,44.03,500.0
44.02,44.02,44.02,44.02,400.0
44.02,44.02,44.02,44.02,1300.0
44.03,44.03,44.01,44.01,200.0
44.03,44.0399,44.02,44.0399,300.0
44.01,44.04,44.01,44.04,300.0
44.03,44.03,44.03,44.03,300.0
43.995,44.03,43.995,44.03,1400.0
44.01,44.01,43.995,44.0,1300.0
44.03,44.03,44.01,44.01,400.0
