Open,High,Low,Close,Volume
44.71,44.73,44.71,44.73,11947.0
44.73,44.81,44.7,44.77,3964.0
44.7,44.72,44.67,44.72,1928.0
44.71,44.71,44.71,44.71,500.0
44.729,44.73,44.7,44.72,976.0
44.67,44.75,44.615,44.73,5197.0
44.72,44.72,44.65,44.65,1100.0
44.79,44.79,44.75,44.75,1500.0
44.715,44.76,44.715,44.76,1600.0
44.79,44.79,44.76,44.76,900.0
44.79,44.79,44.79,44.79,300.0
44.76,44.8,44.74,44.79,3219.0
44.76,44.77,44.74,44.74,1600.0
44.75,44.82,44.75,44.8,3510.0
44.79,44.81,44.78,44.78,1579.0
44.805,44.81,44.805,44.805,1200.0
44.88,44.88,44.81,44.82,1800.0
44.91,44.93,44.91,44.92,4623.0
44.9,44.92,44.9,44.91,4804.0
44.92,44.92,44.9,44.9,200.0
44.885,44.92,44.88,44.91,4000.0
44.87,44.88,44.84,44.88,1100.0
44.84,44.87,44.84,44.87,700.0
44.86,44.86,44.84,44.86,1337.0
44.89,44.89,44.845,44.855,3880.0
44.9,44.9,44.88,44.88,800.0
44.91,44.92,44.89,44.9,1038.0
44.89,44.92,44.87,44.92,2200.0
44.863,44.905,44.863,44.9,6079.0
44.89,44.89,44.85,44.87,2800.0
44.88,44.9,44.88,44.89,4704.0
44.88,44.895,44.87,44.88,1800.0
44.915,44.915,44.88,44.9,1500.0
44.915,44.94,44.915,44.92,5600.0
44.95,44.96,44.915,44.915,1400.0
44.91,44.95,44.91,44.95,4400.0
44.9,44.96,44.9,44.92,10057.0
44.885,44.91,44.885,44.91,2280.0
44.89,44.89,44.89,44.89,1400.0
44.91,44.91,44.89,44.89,1100.0
44.9,44.91,44.88,44.91,3137.0
44.92,44.9201,44.91,44.9155,2698.0
44.9,44.92,44.895,44.92,1400.0
44.92,44.92,44.89,44.9,2900.0
44.955,44.96,44.92,44.92,3818.0
44.96,44.96,44.96,44.96,700.0
44.92,44.94,44.92,44.94,600.0
44.94,44.94,44.92,44.92,3000.0
44.93,44.935,44.92,44.93,3000.0
44.95,44.95,44.93,44.935,7213.0
44.98,44.98,44.94,44.95,7700.0
44.96,44.98,44.94,44.98,1963.0
44.95,44.96,44.935,44.94,2837.0
44.95,44.95,44.94,44.95,1400.0
44.97,44.99,44.94,44.945,4907.0
44.96,44.96,44.95,44.96,1500.0
44.94,44.95,44.94,44.95,1300.0
44.935,44.94,44.935,44.94,500.0
44.96,44.96,44.935,44.935,9628.0
44.94,44.95,44.935,44.95,8600.0
44.94,44.96,44.94,44.94,8799.0
44.935,44.935,44.93,44.935,500.0
44.95,44.95,44.94,44.94,4300.0
44.94,44.95,44.935,44.95,2850.0
44.94,44.95,44.94,44.945,3600.0
44.935,44.94,44.93,44.94,2000.0
44.9,44.935,44.895,44.93,5400.0
44.94,44.94,44.91,44.91,1400.0
44.94,44.94,44.915,44.93,3300.0
44.94,44.94,44.93,44.94,1200.0
44.94,44.94,44.94,44.94,200.0
44.96,44.97,44.95,44.95,1600.0
44.94,44.96,44.94,44.96,1000.0
44.945,44.945,44.925,44.93,1800.0
44.9299,44.94,44.91,44.94,6843.0
44.925,44.94,44.915,44.92,9671.0
44.93,44.94,44.925,44.93,12311.0
44.93,44.93,44.925,44.93,1500.0
44.9254,44.94,44.9254,44.93,1200.0
44.93,44.94,44.92,44.92,1400.0
44.93,44.93,44.925,44.93,800.0
44.925,44.93,44.92,44.93,1900.0
44.9525,44.96,44.93,44.93,1956.0
44.97,44.98,44.95,44.95,2662.0
44.96,44.96,44.96,44.96,400.0
44.94,44.95,44.94,44.95,200.0
44.97,44.97,44.9443,44.9443,3220.0
44.97,44.98,44.97,44.98,700.0
44.96,44.975,44.96,44.97,2037.0
44.98,44.98,44.955,44.96,3439.0
44.985,44.985,44.98,44.98,1100.0
44.98,44.98,44.98,44.98,100.0
44.99,45.02,44.985,44.99,26377.0
44.995,44.995,44.98,44.98,1600.0
44.97,45.005,44.97,45.0,3068.0
44.955,44.9631,44.945,44.9631,2600.0
44.97,44.98,44.96,44.96,1500.0
44.98,44.98,44.97,44.975,1570.0
44.98,44.98,44.98,44.98,700.0
44.98,45.0,44.975,44.98,2185.0
45.0,45.01,44.995,45.0,2515.0
44.995,44.995,44.985,44.995,2219.0
44.985,45.005,44.985,45.0,1900.0
44.99,44.99,44.985,44.985,200.0
45.0,45.0,44.98,44.99,4164.0
45.035,45.035,45.0,45.0,2175.0
45.03,45.04,45.03,45.04,400.0
45.01,45.03,45.01,45.03,4500.0
45.015,45.015,45.0,45.0,1300.0
45.0,45.01,45.0,45.005,1900.0
45.0,45.01,45.0,45.005,6900.0
45.01,45.01,44.99,45.005,6934.0
45.01,45.017,45.01,45.017,841.0
45.01,45.02,45.0,45.0099,1400.0
45.01,45.02,45.0,45.01,2080.0
45.01,45.02,45.01,45.02,300.0
45.01,45.0139,45.0,45.01,7309.0
45.0,45.01,44.99,45.01,2500.0
44.995,45.0,44.985,45.0,4100.0
44.965,44.995,44.96,44.995,9799.0
44.965,44.98,44.96,44.965,5628.0
44.9725,44.98,44.9625,44.97,2853.0
44.9608,44.975,44.95,44.97,7800.0
44.95,44.95,44.925,44.945,5125.0
44.92,44.95,44.92,44.95,2266.0
44.93,44.94,44.92,44.92,1600.0
44.945,44.945,44.93,44.935,6400.0
44.905,44.95,44.905,44.95,7073.0
44.895,44.905,44.895,44.905,600.0
44.91,44.91,44.9,44.9,429.0
44.9175,44.9175,44.905,44.905,2306.0
44.9,44.92,44.9,44.91,1600.0
44.89,44.91,44.89,44.905,5062.0
44.895,44.91,44.89,44.895,3174.0
44.87,44.91,44.87,44.9,10394.0
44.83,44.86,44.83,44.86,2300.0
44.83,44.83,44.82,44.82,616.0
44.8433,44.85,44.825,44.83,921.0
44.84,44.85,44.83,44.8408,5677.0
44.8,44.83,44.8,44.83,3903.0
44.83,44.83,44.8107,44.815,1513.0
44.8275,44.83,44.8275,44.83,400.0
44.85,44.85,44.825,44.83,4740.0
44.8425,44.86,44.8425,44.845,10400.0
44.86,44.86,44.845,44.845,2117.0
44.85,44.8818,44.85,44.85,3900.0
44.85,44.86,44.85,44.86,1500.0
44.87,44.87,44.845,44.85,4608.0
44.88,44.88,44.88,44.88,300.0
44.85,44.89,44.85,44.89,1320.0
44.88,44.88,44.8501,44.8501,2474.0
44.85,44.87,44.85,44.87,1700.0
44.88,44.9,44.86,44.86,2700.0
44.8656,44.88,44.86,44.88,973.0
44.85,44.85,44.85,44.85,1200.0
44.85,44.85,44.85,44.85,3420.0
44.86,44.88,44.85,44.85,4900.0
44.88,44.88,44.8735,44.8735,544.0
44.8799,44.89,44.8799,44.89,800.0
44.87,44.8975,44.87,44.88,1256.0
44.86,44.86,44.86,44.86,300.0
44.85,44.87,44.85,44.86,7644.0
44.86,44.86,44.845,44.85,4863.0
44.865,44.87,44.865,44.87,710.0
44.845,44.86,44.845,44.86,3072.0
44.85,44.86,44.85,44.85,2050.0
44.86,44.86,44.85,44.85,2100.0
44.85,44.87,44.85,44.87,3460.0
44.88,44.88,44.8575,44.8575,464.0
44.87,44.87,44.86,44.87,995.0
44.87,44.87,44.85,44.8501,1300.0
44.88,44.88,44.88,44.88,300.0
44.89,44.89,44.89,44.89,400.0
44.89,44.9,44.89,44.9,1098.0
44.87,44.88,44.87,44.88,400.0
44.86,44.87,44.86,44.87,500.0
44.86,44.86,44.8565,44.86,1100.0
44.86,44.87,44.86,44.87,2102.0
44.87,44.87,44.85,44.85,1000.0
44.88,44.89,44.88,44.89,380.0
44.88,44.89,44.88,44.89,2574.0
44.9,44.9,44.88,44.88,1033.0
44.91,44.91,44.89,44.895,4818.0
44.92,44.93,44.92,44.92,3676.0
44.92,44.92,44.92,44.92,100.0
44.9,44.92,44.9,44.92,500.0
44.88,44.88,44.88,44.88,100.0
44.9,44.9,44.885,44.89,1347.0
44.89,44.9,44.88,44.9,2600.0
44.89,44.89,44.89,44.89,100.0
44.88,44.9,44.88,44.9,1034.0
44.86,44.8735,44.86,44.8735,691.0
44.86,44.86,44.86,44.86,100.0
44.85,44.86,44.85,44.86,900.0
44.87,44.87,44.85,44.85,1800.0
44.87,44.87,44.87,44.87,300.0
44.87,44.87,44.87,44.87,3834.0
44.88,44.88,44.86,44.87,8088.0
44.85,44.875,44.85,44.87,9171.0
44.86,44.86,44.85,44.85,6578.0
44.85,44.855,44.845,44.85,5000.0
44.85,44.85,44.85,44.85,2989.0
44.87,44.87,44.85,44.85,2200.0
44.8737,44.88,44.87,44.875,669.0
44.875,44.875,44.87,44.87,348.0
44.88,44.9,44.88,44.88,1828.0
44.845,44.88,44.845,44.88,700.0
44.87,44.87,44.845,44.845,2100.0
44.88,44.88,44.88,44.88,900.0
44.85,44.87,44.85,44.87,1340.0
44.87,44.87,44.85,44.85,600.0
44.85,44.87,44.85,44.87,3100.0
44.89,44.89,44.87,44.87,2000.0
44.875,44.89,44.875,44.89,1900.0
44.89,44.89,44.88,44.88,500.0
44.89,44.89,44.89,44.89,1400.0
44.91,44.91,44.9,44.9,2857.0
44.91,44.91,44.9,44.9,600.0
44.9,44.9,44.9,44.9,200.0
