Open,High,Low,Close,Volume
49.93,49.93,49.93,49.93,8666.0
49.57,49.95,49.57,49.62,610.0
49.96,49.96,49.96,49.96,102.0
49.83,49.915,49.83,49.875,700.0
50.0,50.0,49.87,49.87,2249.0
50.07,50.095,50.07,50.095,400.0
49.94,50.03,49.94,50.02,2400.0
49.96,50.0,49.92,49.976,1700.0
50.01,50.05,49.811,49.855,14400.0
49.99,50.0309,49.99,50.02,3082.0
49.9302,49.995,49.92,49.97,2488.0
50.03,50.03,49.99,49.99,600.0
50.09,50.1,50.03,50.07,2287.0
50.09,50.1,50.031,50.09,2753.0
50.12,50.12,50.07,50.07,4382.0
50.1,50.1,50.1,50.1,200.0
50.1133,50.14,50.08,50.08,3593.0
50.13,50.13,50.11,50.13,1000.0
50.18,50.18,50.15,50.15,1200.0
50.18,50.18,50.18,50.18,500.0
50.23,50.23,50.18,50.18,2000.0
50.23,50.23,50.21,50.22,600.0
50.3,50.3,50.2254,50.24,6294.0
50.265,50.3,50.265,50.3,800.0
50.25,50.29,50.25,50.29,800.0
50.37,50.37,50.29,50.29,3365.0
50.27,50.36,50.23,50.33,3925.0
50.26,50.26,50.23,50.24,2000.0
50.179,50.24,50.131,50.24,1900.0
50.105,50.13,50.09,50.13,2200.0
50.18,50.18,50.11,50.11,2100.0
50.22,50.22,50.1999,50.2,1299.0
50.2,50.2,50.16,50.19,3704.0
50.24,50.24,50.21,50.22,1100.0
50.175,50.27,50.175,50.27,1800.0
50.24,50.25,50.19,50.2,1600.0
50.18,50.22,50.18,50.22,5600.0
50.16,50.18,50.12,50.18,3200.0
50.1,50.14,50.05,50.14,800.0
50.1,50.13,50.06,50.08,8756.0
50.07,50.12,50.07,50.12,5200.0
50.07,50.09,50.07,50.07,800.0
50.0577,50.08,50.05,50.07,1600.0
50.06,50.07,50.02,50.055,2500.0
49.95,50.07,49.95,50.04,35160.0
49.95,49.95,49.891,49.9,2600.0
49.98,49.98,49.95,49.95,200.0
49.98,49.98,49.97,49.98,800.0
49.98,49.985,49.94,49.97,1200.0
49.99,49.99,49.97,49.98,900.0
50.03,50.03,50.0,50.0,4461.0
50.07,50.09,50.04,50.04,8346.0
50.065,50.07,50.06,50.06,600.0
50.075,50.08,50.075,50.08,200.0
50.07,50.07,50.04,50.06,2848.0
50.08,50.09,50.07,50.07,2300.0
50.05,50.08,50.05,50.08,3800.0
50.02,50.04,50.01,50.04,2200.0
49.98,50.03,49.97,50.02,2300.0
50.01,50.01,49.97,49.9898,1900.0
50.0178,50.0178,50.0178,50.0178,150.0
50.015,50.04,50.015,50.04,200.0
50.05,50.05,50.0,50.01,2500.0
50.055,50.055,50.055,50.055,100.0
50.06,50.07,50.04,50.04,1600.0
50.005,50.06,50.005,50.05,5500.0
49.99,49.99,49.99,49.99,100.0
49.9351,49.99,49.9351,49.99,2607.0
49.97,49.987,49.95,49.95,2840.0
49.95,50.0,49.95,49.99,2810.0
49.985,49.99,49.97,49.97,600.0
50.015,50.03,49.99,50.0,2400.0
49.941,50.02,49.941,50.02,5770.0
49.92,49.94,49.883,49.94,7160.0
50.0,50.0,49.94,49.94,4625.0
50.02,50.02,50.005,50.01,2000.0
50.015,50.02,50.015,50.02,800.0
50.01,50.02,49.99,50.01,3500.0
50.01,50.01,49.99,50.0,3315.0
50.01,50.02,50.0,50.02,4750.0
50.01,50.02,50.0,50.02,6400.0
50.0,50.03,49.99,50.01,4154.0
49.96,50.005,49.96,50.005,2100.0
49.955,49.97,49.955,49.97,200.0
49.99,50.0,49.95,49.95,3900.0
49.99,50.02,49.99,49.99,2713.0
49.985,49.99,49.975,49.99,1591.0
50.025,50.025,49.9775,49.98,1675.0
49.99,50.04,49.99,50.025,3300.0
50.01,50.01,49.99,50.0,1800.0
50.02,50.02,50.0,50.0,1100.0
50.04,50.04,50.025,50.025,800.0
50.06,50.07,50.06,50.07,700.0
50.07,50.09,50.07,50.07,2700.0
50.1,50.1,50.08,50.08,3314.0
50.05,50.1,50.04,50.1,6663.0
50.03,50.05,50.03,50.045,1500.0
50.03,50.03,50.03,50.03,2200.0
50.0256,50.04,50.0256,50.03,1300.0
50.09,50.09,50.025,50.025,2000.0
50.1,50.12,50.1,50.1,3300.0
50.08,50.09,50.08,50.09,600.0
50.09,50.1,50.08,50.08,2200.0
50.11,50.11,50.09,50.09,2900.0
50.12,50.12,50.12,50.12,100.0
50.15,50.15,50.15,50.15,100.0
50.11,50.13,50.095,50.13,3700.0
50.1499,50.1499,50.13,50.13,400.0
50.14,50.17,50.14,50.145,2700.0
50.11,50.16,50.11,50.16,1500.0
50.06,50.09,50.06,50.09,2693.0
50.0399,50.04,50.0399,50.04,335.0
