Open,High,Low,Close,Volume
20.26,20.33,20.26,20.33,439345.0
20.33,20.33,20.26,20.26,10326.0
20.23,20.27,20.2,20.24,3873.0
20.24,20.24,20.23,20.23,1753.0
20.24,20.25,20.21,20.21,6300.0
20.2,20.25,20.19,20.23,2527.0
20.16,20.21,20.16,20.21,1600.0
20.1597,20.1597,20.15,20.15,359.0
20.125,20.18,20.11,20.18,1500.0
20.1289,20.1289,20.1289,20.1289,420.0
20.17,20.17,20.17,20.17,400.0
20.11,20.17,20.0832,20.16,7450.0
20.09,20.12,20.09,20.11,1800.0
20.07,20.08,20.07,20.07,6470.0
20.1,20.1,20.06,20.06,2468.0
20.12,20.13,20.11,20.11,1485.0
20.07,20.13,20.07,20.13,3200.0
20.07,20.07,20.06,20.065,3000.0
20.05,20.06,20.04,20.06,4200.0
20.02,20.04,20.02,20.04,2300.0
20.05,20.06,20.03,20.03,4332.0
20.08,20.1,20.04,20.055,10353.0
20.07,20.08,20.06,20.08,4131.0
20.06,20.07,20.06,20.07,1700.0
20.05,20.06,20.05,20.05,4022.0
20.02,20.04,20.0,20.04,5938.0
20.0237,20.0237,20.0237,20.0237,108.0
20.05,20.05,20.02,20.02,3698.0
20.08,20.08,20.05,20.05,1139.0
20.07,20.08,20.07,20.08,1200.0
20.01,20.04,20.01,20.04,2188.0
20.03,20.03,20.015,20.015,1527.0
20.02,20.03,20.01,20.03,4900.0
20.05,20.05,20.02,20.02,2012.0
20.05,20.05,20.04,20.04,2900.0
20.05,20.05,20.05,20.05,100.0
20.03,20.05,20.03,20.05,1562.0
20.0,20.03,20.0,20.03,2192.0
20.06,20.06,20.005,20.01,7348.0
20.08,20.08,20.07,20.07,2072.0
20.0654,20.08,20.06,20.08,2159.0
20.07,20.07,20.06,20.061,2129.0
20.07,20.07,20.06,20.07,800.0
20.07,20.07,20.06,20.07,1645.0
20.02,20.06,20.01,20.06,5640.0
20.01,20.03,20.01,20.02,2867.0
20.02,20.03,20.02,20.02,2000.0
20.04,20.05,20.03,20.03,2400.0
20.03,20.05,20.03,20.04,3300.0
20.03,20.03,20.025,20.03,2750.0
20.04,20.04,20.04,20.04,200.0
20.03,20.04,20.03,20.04,400.0
19.99,20.035,19.99,20.0303,3577.0
19.99,20.0,19.99,19.99,4800.0
19.99,20.0,19.99,19.99,800.0
19.97,19.99,19.97,19.99,3208.0
19.98,19.98,19.97,19.97,1800.0
20.0,20.0,19.98,19.98,1700.0
19.99,19.993,19.97,19.993,3166.0
20.01,20.01,19.99,20.0,1700.0
19.99,20.0,19.99,20.0,1600.0
20.0,20.0,20.0,20.0,200.0
20.01,20.01,20.0,20.0,2192.0
20.0,20.0,20.0,20.0,1300.0
19.99,20.0,19.99,19.99,300.0
19.98,19.99,19.98,19.99,3200.0
19.98,19.98,19.97,19.98,3600.0
19.98,19.98,19.98,19.98,1300.0
19.9847,19.9847,19.98,19.98,680.0
19.99,20.0,19.99,19.99,25627.0
20.0,20.0,19.995,19.995,600.0
19.97,20.0,19.97,19.995,7200.0
19.97,19.97,19.9695,19.97,1646.0
19.965,19.97,19.95,19.97,4769.0
19.96,19.965,19.96,19.965,300.0
19.96,19.96,19.95,19.96,2500.0
19.97,19.97,19.96,19.96,1600.0
19.985,19.99,19.975,19.9799,2378.0
19.985,19.99,19.985,19.9875,2900.0
19.985,19.99,19.98,19.99,1100.0
19.97,19.985,19.97,19.985,3000.0
19.985,19.985,19.97,19.98,1900.0
19.98,19.98,19.98,19.98,2100.0
19.97,19.975,19.97,19.975,3100.0
19.95,19.96,19.95,19.96,2378.0
19.95,19.96,19.95,19.95,6350.0
19.95,19.9595,19.95,19.955,888.0
19.95,19.955,19.95,19.95,1000.0
19.95,19.955,19.95,19.955,600.0
19.915,19.95,19.91,19.95,6384.0
19.89,19.91,19.89,19.91,2500.0
19.905,19.91,19.89,19.89,3335.0
19.91,19.91,19.9,19.905,1910.0
19.915,19.915,19.915,19.915,100.0
19.91,19.92,19.91,19.915,700.0
19.96,19.96,19.92,19.92,12633.0
19.96,19.96,19.955,19.96,2804.0
19.975,19.98,19.95,19.955,29200.0
19.96,19.98,19.96,19.98,6494.0
19.96,19.96,19.945,19.95,7123.0
19.95,19.96,19.95,19.96,1800.0
19.95,19.955,19.94,19.94,16260.0
19.945,19.945,19.94,19.945,1216.0
19.945,19.95,19.945,19.95,15480.0
19.945,19.945,19.945,19.945,100.0
19.92,19.945,19.91,19.945,18109.0
19.91,19.92,19.91,19.92,900.0
19.91,19.91,19.899,19.91,5906.0
19.92,19.92,19.915,19.915,300.0
19.92,19.92,19.91,19.91,500.0
19.91,19.915,19.91,19.915,200.0
19.9,19.915,19.9,19.91,3164.0
19.89,19.905,19.885,19.905,7015.0
19.93,19.93,19.89,19.89,7333.0
19.95,19.95,19.925,19.93,4775.0
19.95,19.95,19.93,19.9407,45085.0
19.95,19.95,19.93,19.95,53631.0
19.95,19.95,19.95,19.95,100.0
19.97,19.97,19.96,19.96,3012.0
19.965,19.97,19.965,19.97,200.0
19.95,19.96,19.95,19.96,3600.0
19.94,19.945,19.94,19.94,300.0
19.93,19.94,19.93,19.94,1404.0
19.91,19.93,19.91,19.93,1800.0
19.91,19.92,19.91,19.91,877.0
19.915,19.915,19.91,19.91,500.0
19.945,19.945,19.92,19.92,6012.0
19.98,19.98,19.95,19.95,2100.0
19.99,19.99,19.98,19.98,1314.0
19.985,19.985,19.985,19.985,100.0
19.99,19.99,19.98,19.98,3600.0
19.99,19.99,19.985,19.99,300.0
20.0,20.0,19.9844,19.9844,3625.0
20.0,20.0,20.0,20.0,200.0
19.97,20.0,19.97,19.9973,8600.0
19.97,19.97,19.97,19.97,900.0
19.96,19.96,19.95,19.96,3882.0
19.98,19.99,19.97,19.97,4500.0
19.98,19.98,19.98,19.98,300.0
19.97,19.98,19.97,19.98,3100.0
