Open,High,Low,Close,Volume
183.09,183.09,182.96,182.96,14337.0
183.09,183.16,182.97,183.02,7759.0
182.81,183.1,182.71,183.06,5260.0
182.57,182.79,182.56,182.78,2559.0
182.45,182.63,182.45,182.63,2833.0
182.61,182.61,182.57,182.6,1200.0
182.49,182.75,182.49,182.68,4898.0
182.09,182.42,182.09,182.41,2526.0
182.21,182.23,182.145,182.152,1900.0
182.02,182.11,182.02,182.07,1365.0
181.89,181.93,181.86,181.9,541.0
182.08,182.08,181.9,181.9,1100.0
181.87,182.19,181.8,182.09,6711.0
181.97,181.97,181.8,181.843,1596.0
181.95,182.0,181.89,181.98,1832.0
181.87,181.91,181.75,181.9,1560.0
182.15,182.15,181.915,181.95,700.0
182.32,182.32,182.19,182.19,1200.0
182.35,182.35,182.27,182.29,921.0
182.13,182.23,182.13,182.23,300.0
182.14,182.14,182.08,182.1,1333.0
182.0,182.13,181.94,182.1,5842.0
181.96,182.06,181.93,181.97,2600.0
181.95,182.03,181.95,182.03,800.0
182.0196,182.1,182.0196,182.02,1544.0
181.975,182.01,181.975,182.01,800.0
182.06,182.07,181.95,181.95,1400.0
182.05,182.06,182.05,182.06,500.0
182.05,182.05,182.0,182.0,1123.0
181.92,182.04,181.9,182.04,3300.0
182.04,182.04,181.915,181.915,6555.0
181.94,181.9746,181.94,181.95,822.0
181.81,181.96,181.81,181.95,1200.0
181.8194,181.8194,181.8194,181.8194,101.0
181.7694,181.79,181.75,181.79,690.0
181.7,181.7,181.63,181.66,700.0
181.55,181.592,181.55,181.59,400.0
181.51,181.57,181.51,181.54,700.0
181.55,181.56,181.53,181.53,400.0
181.6,181.65,181.498,181.54,2390.0
181.5,181.6,181.47,181.6,5665.0
181.35,181.54,181.35,181.53,4810.0
181.47,181.475,181.35,181.35,4796.0
181.38,181.42,181.38,181.42,2184.0
181.52,181.54,181.37,181.37,1200.0
181.61,181.61,181.61,181.61,300.0
181.62,181.62,181.49,181.6,1710.0
181.81,181.81,181.69,181.69,1300.0
181.79,181.8,181.75,181.8,1604.0
181.78,181.78,181.69,181.71,1152.0
181.69,181.72,181.69,181.72,500.0
181.73,181.76,181.68,181.68,1400.0
181.86,181.86,181.78,181.78,1600.0
181.77,181.92,181.75,181.87,1600.0
181.73,181.82,181.73,181.81,600.0
181.85,181.85,181.76,181.76,1400.0
181.95,181.95,181.82,181.83,1599.0
181.9,181.94,181.84,181.91,4742.0
181.98,181.98,181.91,181.96,900.0
182.03,182.075,181.99,181.99,2200.0
182.04,182.12,182.025,182.06,2396.0
181.93,182.06,181.885,182.05,18000.0
182.0,182.01,181.96,181.96,1600.0
181.95,182.02,181.93,182.02,1600.0
181.88,181.91,181.81,181.9,3029.0
181.91,181.92,181.84,181.89,2763.0
181.8801,181.92,181.88,181.88,1100.0
181.97,181.99,181.93,181.93,1200.0
182.05,182.05,181.98,181.98,2300.0
181.92,182.05,181.92,181.97,1980.0
181.95,181.95,181.88,181.88,1307.0
181.85,181.9,181.82,181.86,1967.0
181.72,181.72,181.72,181.72,200.0
181.66,181.72,181.64,181.72,1000.0
181.71,181.73,181.7,181.7,1196.0
181.755,181.86,181.67,181.67,2200.0
181.74,181.76,181.74,181.76,434.0
181.8,181.8,181.68,181.76,1307.0
181.69,181.8,181.69,181.76,1100.0
181.62,181.65,181.54,181.65,1800.0
181.54,181.69,181.54,181.69,1600.0
181.62,181.64,181.55,181.61,1515.0
181.62,181.62,181.5,181.55,1702.0
181.69,181.69,181.63,181.63,900.0
181.65,181.76,181.65,181.6803,1343.0
181.77,181.77,181.65,181.68,1600.0
181.86,181.86,181.82,181.82,1990.0
181.89,181.91,181.87,181.87,600.0
181.92,182.0,181.85,181.86,2600.0
181.83,181.95,181.83,181.881,500.0
181.71,181.85,181.63,181.84,6345.0
181.85,181.85,181.69,181.69,1900.0
181.77,181.83,181.74,181.82,1509.0
181.77,181.8,181.725,181.74,2319.0
181.83,181.83,181.76,181.79,1300.0
181.84,181.87,181.77,181.83,3004.0
181.75,181.75,181.69,181.72,2810.0
181.79,181.79,181.71,181.75,1200.0
181.76,181.81,181.72,181.77,1000.0
181.6375,181.7,181.6375,181.6404,1188.0
181.56,181.66,181.56,181.65,600.0
181.6,181.6,181.515,181.52,500.0
181.6,181.61,181.53,181.53,4580.0
181.64,181.64,181.64,181.64,100.0
181.625,181.69,181.625,181.63,1171.0
181.55,181.59,181.55,181.59,200.0
181.5,181.54,181.5,181.5,799.0
181.525,181.53,181.47,181.51,2242.0
181.5,181.53,181.4401,181.52,3229.0
181.48,181.56,181.44,181.47,4964.0
181.5,181.5,181.35,181.4,1899.0
181.53,181.53,181.5,181.5,500.0
181.6,181.6,181.45,181.4895,2260.0
181.55,181.6,181.55,181.6,410.0
181.55,181.59,181.5,181.59,1412.0
181.565,181.6,181.5,181.56,2314.0
181.45,181.45,181.45,181.45,100.0
181.49,181.49,181.465,181.465,700.0
181.35,181.44,181.35,181.44,736.0
181.58,181.58,181.37,181.4,3357.0
181.32,181.58,181.16,181.58,40052.0
181.39,181.39,181.3256,181.38,730.0
181.28,181.375,181.26,181.31,2000.0
181.04,181.2501,181.04,181.25,6795.0
180.88,181.06,180.87,181.02,4300.0
180.8097,180.92,180.78,180.85,1800.0
181.01,181.01,180.9275,180.9299,2300.0
181.15,181.15,181.15,181.15,100.0
181.09,181.09,181.09,181.09,100.0
181.06,181.14,181.06,181.14,300.0
181.095,181.095,181.095,181.095,100.0
181.1,181.1,181.1,181.1,100.0
181.05,181.16,181.05,181.14,1720.0
181.004,181.1,181.004,181.1,300.0
180.93,181.06,180.93,181.06,1624.0
180.9498,180.9498,180.9498,180.9498,353.0
180.99,181.02,180.9201,181.01,6772.0
181.05,181.08,181.05,181.07,800.0
180.95,181.07,180.95,181.05,2600.0
180.93,180.98,180.925,180.955,1400.0
180.94,180.97,180.94,180.965,600.0
181.02,181.02,181.0,181.0,200.0
180.97,180.97,180.97,180.97,100.0
181.0,181.0,181.0,181.0,200.0
181.0496,181.0496,180.97,180.97,200.0
180.96,181.05,180.91,181.05,3100.0
180.8,180.8,180.8,180.8,100.0
180.87,180.87,180.84,180.86,1200.0
180.96,180.96,180.83,180.83,900.0
181.0,181.0,181.0,181.0,100.0
180.96,180.968,180.96,180.968,200.0
180.85,180.91,180.85,180.91,400.0
180.88,180.88,180.88,180.88,100.0
180.84,180.87,180.84,180.87,800.0
180.81,180.85,180.7627,180.7627,3054.0
180.73,180.8,180.73,180.74,5077.0
180.66,180.73,180.66,180.73,500.0
180.57,180.57,180.5,180.52,6200.0
180.41,180.51,180.41,180.51,500.0
180.41,180.41,180.41,180.41,100.0
180.345,180.42,180.345,180.42,1000.0
180.15,180.31,180.15,180.31,2300.0
180.15,180.15,180.15,180.15,100.0
180.18,180.23,180.142,180.142,2700.0
180.145,180.16,180.145,180.16,3100.0
180.13,180.13,180.0,180.08,820.0
180.19,180.19,180.06,180.12,1500.0
180.23,180.23,180.2,180.2,500.0
180.32,180.32,180.32,180.32,100.0
180.32,180.37,180.29,180.29,1200.0
180.47,180.47,180.47,180.47,100.0
180.47,180.47,180.47,180.47,100.0
180.31,180.32,180.3,180.31,1105.0
180.17,180.17,180.17,180.17,200.0
180.1599,180.18,180.08,180.18,400.0
180.14,180.14,180.14,180.14,300.0
180.12,180.17,180.12,180.16,2273.0
180.11,180.12,180.06,180.12,1733.0
180.16,180.16,180.12,180.12,400.0
180.22,180.22,180.21,180.21,500.0
180.21,180.21,180.21,180.21,400.0
180.44,180.44,180.44,180.44,100.0
180.54,180.54,180.45,180.45,500.0
180.52,180.52,180.52,180.52,200.0
180.475,180.56,180.475,180.56,353.0
180.32,180.465,180.32,180.46,1157.0
180.35,180.37,180.31,180.31,1700.0
180.35,180.351,180.3,180.35,622.0
180.44,180.44,180.3185,180.3185,610.0
180.32,180.5,180.32,180.5,200.0
180.195,180.32,180.14,180.32,1100.0
180.24,180.24,180.24,180.24,100.0
180.23,180.23,180.14,180.16,1100.0
180.32,180.32,180.24,180.28,900.0
180.28,180.335,180.28,180.335,300.0
180.4,180.4,180.3,180.3,200.0
180.345,180.345,180.345,180.345,100.0
180.3578,180.3578,180.35,180.35,300.0
180.39,180.39,180.39,180.39,100.0
180.44,180.51,180.4,180.4,1000.0
180.68,180.69,180.51,180.51,800.0
180.63,180.66,180.63,180.65,1100.0
180.63,180.63,180.63,180.63,100.0
180.53,180.61,180.53,180.59,900.0
180.51,180.51,180.51,180.51,200.0
180.495,180.52,180.47,180.48,900.0
180.53,180.53,180.53,180.53,100.0
180.49,180.53,180.46,180.5,2500.0
180.52,180.52,180.485,180.485,200.0
180.52,180.52,180.52,180.52,100.0
180.47,180.47,180.42,180.47,732.0
180.22,180.41,180.22,180.41,2900.0
180.2979,180.2979,180.2979,180.2979,100.0
180.42,180.43,180.37,180.37,800.0
180.46,180.47,180.45,180.45,600.0
180.53,180.53,180.53,180.53,100.0
180.66,180.66,180.53,180.53,400.0
180.605,180.66,180.605,180.66,300.0
180.65,180.65,180.56,180.56,384.0
180.68,180.68,180.65,180.65,720.0
180.595,180.595,180.595,180.595,200.0
180.65,180.655,180.65,180.655,200.0
180.645,180.645,180.645,180.645,100.0
180.575,180.61,180.56,180.61,1104.0
180.58,180.63,180.58,180.63,600.0
180.57,180.58,180.57,180.58,200.0
180.51,180.51,180.51,180.51,100.0
180.49,180.49,180.31,180.364,2685.0
180.565,180.63,180.565,180.63,300.0
180.46,180.565,180.46,180.565,700.0
180.4612,180.4612,180.4612,180.4612,253.0
180.58,180.58,180.49,180.49,500.0
180.56,180.59,180.55,180.59,300.0
180.54,180.59,180.47,180.59,600.0
180.55,180.55,180.54,180.54,300.0
180.53,180.62,180.49,180.55,1000.0
180.41,180.49,180.41,180.49,700.0
180.3752,180.3752,180.3752,180.3752,129.0
180.53,180.59,180.45,180.45,1537.0
180.57,180.57,180.5,180.51,600.0
180.6,180.6,180.57,180.57,400.0
180.69,180.69,180.6,180.6,900.0
180.75,180.75,180.61,180.61,300.0
180.82,180.82,180.75,180.75,300.0
180.795,180.795,180.795,180.795,200.0
180.55,180.86,180.55,180.84,3550.0
180.54,180.55,180.465,180.48,1086.0
180.485,180.54,180.455,180.52,1550.0
180.51,180.54,180.4301,180.4301,1900.0
180.54,180.54,180.5,180.5,200.0
180.54,180.54,180.54,180.54,100.0
180.54,180.54,180.54,180.54,100.0
180.56,180.56,180.56,180.56,100.0
180.4727,180.4727,180.4727,180.4727,100.0
180.57,180.57,180.57,180.57,100.0
180.505,180.56,180.435,180.5196,750.0
180.55,180.55,180.55,180.55,100.0
180.55,180.55,180.55,180.55,100.0
180.41,180.5299,180.36,180.46,6152.0
180.54,180.55,180.32,180.36,5219.0
180.62,180.64,180.56,180.57,1000.0
180.76,180.76,180.58,180.64,1376.0
180.84,180.84,180.713,180.76,700.0
180.78,180.87,180.78,180.84,1200.0
180.74,180.795,180.74,180.78,800.0
180.78,180.81,180.78,180.81,900.0
180.88,180.88,180.85,180.85,300.0
