Open,High,Low,Close,Volume
62.53,62.53,62.53,62.53,40746.0
62.39,62.745,62.34,62.5,8847.0
62.325,62.45,62.29,62.395,5200.0
62.32,62.43,62.31,62.36,5652.0
62.38,62.41,62.325,62.345,2559.0
62.135,62.36,62.09,62.36,8440.0
62.32,62.32,62.135,62.14,45957.0
62.25,62.35,62.23,62.32,4100.0
62.276,62.306,62.24,62.28,3040.0
62.13,62.34,62.1221,62.23,17735.0
62.15,62.18,62.13,62.13,800.0
62.04,62.15,62.03,62.15,11050.0
62.14,62.14,62.03,62.03,5400.0
62.09,62.1822,62.09,62.14,7843.0
62.15,62.15,62.075,62.075,4800.0
62.07,62.1299,62.07,62.1,4639.0
62.2,62.21,62.1,62.12,8640.0
62.1,62.25,62.1,62.21,4734.0
62.1,62.13,62.09,62.11,2100.0
62.21,62.21,62.08,62.1199,3765.0
62.13,62.18,62.12,62.18,2561.0
62.13,62.13,62.101,62.101,300.0
62.22,62.22,62.13,62.13,2563.0
62.26,62.28,62.23,62.23,13328.0
62.31,62.31,62.28,62.28,1200.0
62.3,62.3,62.25,62.29,3488.0
62.39,62.4,62.298,62.298,5420.0
62.45,62.45,62.39,62.41,10417.0
62.5,62.5,62.4313,62.4313,7683.0
62.64,62.69,62.47,62.47,34954.0
62.4872,62.65,62.4872,62.64,9300.0
62.63,62.695,62.51,62.51,18061.0
62.55,62.62,62.55,62.61,5700.0
62.58,62.62,62.51,62.54,6678.0
62.59,62.61,62.52,62.55,6002.0
62.61,62.62,62.6,62.61,1500.0
62.59,62.615,62.55,62.6,7342.0
62.61,62.66,62.53,62.6,17517.0
62.61,62.62,62.58,62.5828,5400.0
62.67,62.69,62.64,62.64,4116.0
62.6,62.65,62.6,62.65,6559.0
62.56,62.59,62.56,62.59,2600.0
62.5801,62.61,62.56,62.59,4460.0
62.75,62.75,62.6,62.61,11834.0
62.78,62.78,62.71,62.72,10083.0
62.67,62.76,62.66,62.76,7734.0
62.7104,62.7104,62.67,62.67,3100.0
62.69,62.7,62.67,62.69,2503.0
