Open,High,Low,Close,Volume
Open,High,Low,Close,Volume
235.46,235.48,235.42,235.42,215226.0
235.565,235.57,235.42,235.47,86365.0
235.56,235.67,235.545,235.56,152344.0
235.47,235.59,235.47,235.56,97503.0
235.44,235.52,235.415,235.46,159674.0
235.43,235.48,235.42,235.43,81296.0
235.53,235.55,235.42,235.43,136029.0
235.55,235.55,235.48,235.52,77957.0
235.64,235.64,235.53,235.55,137702.0
235.6,235.67,235.6,235.63,90778.0
235.65,235.67,235.61,235.61,75028.0
235.64,235.66,235.63,235.64,110508.0
235.78,235.8,235.625,235.64,92066.0
235.85,235.85,235.77,235.78,139225.0
235.77,235.86,235.75,235.85,73513.0
235.78,235.78,235.76,235.77,58953.0
235.73,235.83,235.73,235.78,137333.0
235.68,235.75,235.68,235.725,110670.0
235.66,235.69,235.65,235.68,32834.0
235.68,235.71,235.65,235.65,44443.0
235.63,235.69,235.62,235.68,67766.0
235.67,235.68,235.63,235.63,38620.0
235.72,235.77,235.68,235.68,84916.0
235.72,235.75,235.71,235.72,56536.0
235.7,235.735,235.67,235.72,37370.0
235.67,235.69,235.665,235.69,36538.0
235.71,235.74,235.67,235.67,45497.0
235.78,235.78,235.72,235.72,20244.0
235.88,235.89,235.77,235.78,78584.0
235.91,235.96,235.88,235.88,127304.0
236.12,236.17,235.88,235.91,195259.0
235.965,236.12,235.94,236.11,163427.0
235.96,236.02,235.95,235.97,81933.0
235.9,235.97,235.89,235.97,76098.0
235.95,235.95,235.87,235.895,43955.0
235.89,236.02,235.89,235.95,150104.0
235.89,235.89,235.83,235.89,76573.0
235.83,235.89,235.78,235.88,100434.0
235.77,235.84,235.715,235.84,110596.0
235.77,235.83,235.76,235.77,31329.0
235.9,235.91,235.8,235.8,75971.0
235.72,235.9,235.695,235.9,189486.0
235.68,235.77,235.68,235.73,55119.0
235.74,235.75,235.67,235.68,39123.0
235.74,235.78,235.74,235.75,33210.0
235.69,235.73,235.68,235.73,29414.0
235.72,235.73,235.68,235.69,51977.0
235.74,235.77,235.715,235.72,37223.0
235.74,235.76,235.72,235.74,29120.0
235.68,235.725,235.61,235.725,71974.0
235.72,235.725,235.62,235.68,31822.0
235.78,235.78,235.71,235.73,37462.0
235.77,235.83,235.77,235.78,39176.0
235.89,235.94,235.74,235.77,62961.0
235.81,235.899,235.81,235.89,48009.0
235.81,235.82,235.77,235.82,54655.0
235.78,235.82,235.75,235.82,33404.0
235.79,235.795,235.77,235.78,6503.0
235.72,235.82,235.705,235.78,31152.0
235.74,235.765,235.735,235.74,15752.0
235.72,235.74,235.65,235.74,58801.0
235.73,235.73,235.69,235.72,8247.0
235.68,235.72,235.65,235.72,15017.0
235.76,235.77,235.665,235.67,38290.0
235.785,235.83,235.77,235.77,39261.0
235.83,235.87,235.79,235.79,26772.0
235.82,235.85,235.8,235.825,31195.0
235.92,235.92,235.83,235.83,42605.0
235.895,235.92,235.86,235.92,62227.0
235.87,235.895,235.86,235.895,14134.0
235.88,235.91,235.86,235.87,15108.0
